""	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material"	"exposure_material_id"	"additional_exposure_material"	"target_pathogen"	"target_pathogen_taxonid"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"
""	"SERPING1; IDO1; FCGR1A; FCGR1BP; IFIT3; BATF2"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"SERPING1; INDO; FCGR1A; FCGR1B; IFIT3; BATF2; IDO1"	"N"	"gene expression"	"up"	"1d vs 0d"	"time of vaccination"	"1"	"day"	"Fluzone"	"VO:0000047"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"Suppl Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/bin/supp_jiu079_jiu079supp_table1.doc"	"~80% of cohort were white, ~50/50 Female:male"	"8"	"7"	"1"	"254"	"24495909_1_254"
""	"ORM1; TGM3; PHOSPHO2; CACNA2D2; FAM209B; PGM3"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"ORM1; TGM3; PHOSPHO2; CACNA2D2; FAM209B; PGM3"	"N"	"gene expression"	"down"	"1d vs 0d"	"time of vaccination"	"1"	"day"	"Fluzone"	"VO:0000047"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"Suppl Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/bin/supp_jiu079_jiu079supp_table1.doc"	"~80% of cohort were white, ~50/50 Female:male"	"9"	"6"	"2"	"255"	"24495909_2_255"
""	"DEFA1B; PDIA4; CEACAM8; TNFRSF17; SNORD3C; ZFP30; SPRING1; WFS1"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"DEFA1B; PDIA4; CEACAM8; TNFRSF17; SNORD3C; ZFP30; SPRING1; WFS1"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"Fluzone"	"VO:0000047"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"Suppl Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/bin/supp_jiu079_jiu079supp_table1.doc"	"~80% of cohort were white, ~50/50 Female:male"	"9"	"8"	"3"	"256"	"24495909_3_256"
""	"LRRK2; IRAG1; FCAR; H3C13; CTBP2; P2RY14; KAZN; PLAUR"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"LRRK2; IRAG1; FCAR; H3C13; CTBP2; P2RY14; KAZN; PLAUR"	"N"	"gene expression"	"down"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"Fluzone"	"VO:0000047"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"Suppl Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/bin/supp_jiu079_jiu079supp_table1.doc"	"~80% of cohort were white, ~50/50 Female:male"	"9"	"8"	"4"	"257"	"24495909_4_257"
""	"TSHZ2; ALG3; DUSP10; SALL2; ADCK5; METTL2A; BTRC; SPRING1"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"TSHZ2; ALG3; DUSP10; SALL2; ADCK5; METTL2A; BTRC; SPRING1"	"N"	"gene expression"	"up"	"30d vs 0d"	"time of vaccination"	"30"	"days"	"Fluzone"	"VO:0000047"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"Suppl Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/bin/supp_jiu079_jiu079supp_table1.doc"	"~80% of cohort were white, ~50/50 Female:male"	"8"	"8"	"5"	"258"	"24495909_5_258"
""	"P2RY14; TMEM229B; PHOSPHO2; AIFM1; CCDC51; USP1; CTDSP1; TMEM106A"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"P2RY14; TMEM229B; PHOSPHO2; AIFM1; CCDC51; USP1; CTDSP1; TMEM106A"	"N"	"gene expression"	"down"	"30d vs 0d"	"time of vaccination"	"30"	"days"	"Fluzone"	"VO:0000047"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"Suppl Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/bin/supp_jiu079_jiu079supp_table1.doc"	"~80% of cohort were white, ~50/50 Female:male"	"10"	"8"	"6"	"259"	"24495909_6_259"
""	"STK40; DSCC1; FLVCR1; TRAPPC6B; URB1; CPT1A; CHTF8"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"STK40; DSCC1; FLVCR1; TRAPPC6B; URB1; CPT1A; CHTF8"	"N"	"gene expression"	"up"	"1d vs 0d"	"time of vaccination"	"1"	"day"	"FluMist"	"VO:0000044"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"Suppl Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/bin/supp_jiu079_jiu079supp_table1.doc"	"~80% of cohort were white, ~50/50 Female:male"	"8"	"7"	"7"	"260"	"24495909_7_260"
""	"MTCH2; PCGF3; MFSD12; ATP9B; MSRB3; SASS6; PRDM10; RORA"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"MTCH2; PCGF3; MFSD12; ATP9B; MSRB3; SASS6; PRDM10; RORA"	"N"	"gene expression"	"down"	"1d vs 0d"	"time of vaccination"	"1"	"day"	"FluMist"	"VO:0000044"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"Suppl Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/bin/supp_jiu079_jiu079supp_table1.doc"	"~80% of cohort were white, ~50/50 Female:male"	"8"	"8"	"8"	"261"	"24495909_8_261"
""	"OAS2; ICA1; DSCC1; MASTL; C11orf24; BCAS2; FASLG"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"OAS2; ICA1; DSCC1; MASTL; C11orf24; BCAS2; FASLG"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"FluMist"	"VO:0000044"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"Suppl Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/bin/supp_jiu079_jiu079supp_table1.doc"	"~80% of cohort were white, ~50/50 Female:male"	"9"	"7"	"9"	"262"	"24495909_9_262"
""	"PPP1R8; ASB16-AS1; FGFBP3; MYBPH; RSC1A1; BMF; TBC1D17; RASGRP4"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"PPP1R8; ASB16-AS1; FGFBP3; MYBPH; RSC1A1; BMF; TBC1D17; RASGRP4"	"N"	"gene expression"	"down"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"FluMist"	"VO:0000044"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"Suppl Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/bin/supp_jiu079_jiu079supp_table1.doc"	"~80% of cohort were white, ~50/50 Female:male"	"9"	"8"	"10"	"263"	"24495909_10_263"
""	"TERF1; FLVCR1; IL3RA; DSCC1; PPP1R3F; PSMG3-AS1"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"TERF1; FLVCR1; IL3RA; DSCC1; PPP1R3F; PSMG3-AS1"	"N"	"gene expression"	"up"	"30d vs 0d"	"time of vaccination"	"30"	"days"	"FluMist"	"VO:0000044"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"Suppl Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/bin/supp_jiu079_jiu079supp_table1.doc"	"~80% of cohort were white, ~50/50 Female:male"	"10"	"6"	"11"	"264"	"24495909_11_264"
""	"MGAM2; HEMGN; SERPINA1; NFAT5; LSMEM1; WASHC2A; VPS41; XCR1; CBR1"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"MGAM2; HEMGN; SERPINA1; NFTA5; LSMEM1; WASHC2A; VPS41; XCR1; CBR1"	"N"	"gene expression"	"down"	"30d vs 0d"	"time of vaccination"	"30"	"days"	"FluMist"	"VO:0000044"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"Suppl Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/bin/supp_jiu079_jiu079supp_table1.doc"	"~80% of cohort were white, ~50/50 Female:male"	"10"	"9"	"12"	"265"	"24495909_12_265"
""	"OASL; IFIT1; IFIT3; IFI44L; ISG15; GBP1"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"OASL; IFIT1; IFIT3; IFI44L; ISG15; GBP1"	"N"	"gene expression"	"positively correlated"	"H3N1 HI titer"	"time of vaccination"	"1"	"day"	"Fluzone"	"VO:0000047"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"Table 3"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/table/JIU079TB3/"	"~80% of cohort were white, ~50/50 Female:male"	"6"	"6"	"13"	"266"	"24495909_13_266"
""	"GBP1"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"GBP1"	"N"	"gene expression"	"positively correlated"	"H3N2 and B HI titer"	"time of vaccination"	"1"	"day"	"Fluzone"	"VO:0000047"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"Table 3"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/table/JIU079TB3/"	"~80% of cohort were white, ~50/50 Female:male"	"1"	"1"	"14"	"267"	"24495909_14_267"
""	"OASL; OAS1; OAS2; IFIT1; IFIT3; IFITM3; RSAD2; GBP1; GBP5"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"OASL; OAS1; OAS2; IFIT1; IFIT3; IFITM3; RSAD2; GBP1; GBP5"	"N"	"gene expression"	"positively correlated"	"H3N2 VN titer"	"time of vaccination"	"7"	"days"	"FluMist"	"VO:0000044"	""	"Influenza A virus (A/California/7/2009(H1N1)); Influenza A virus (A/Perth/16/2009(H3N2)); Influenza B virus (B/Brisbane/60/2008)"	"1316510; 654811; 604436"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"Table 3"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/table/JIU079TB3/"	"~80% of cohort were white, ~50/50 Female:male"	"9"	"9"	"15"	"268"	"24495909_15_268"
