""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"method"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"exposure_process"	"disease_name"	"disease_stage"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"	"signature_file_complete"	"tissue_type_term_id_1"	"tissue_type_term_id_2"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"CXCL16"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"CXCL16"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"CD37"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"CD37"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"ALOX5AP"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"ALOX5AP"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"STAP1"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"STAP1"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"SERPINA1"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"SERPINA1"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"RAC2"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"RAC2"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"OAS1"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"OAS1"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"LGALS9"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"LGALS9"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"FPR1"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"FPR1"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"CD53"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"CD53"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"BCAP31"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"BCAP31"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"SAMD9"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"SAMD9"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"NCF2"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"NCF2"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"EIF2AK2"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"EIF2AK2"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"SH3BGRL2"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"SH3BGRL2"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"S100A8"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"S100A8"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"RAB1B"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"RAB1B"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"MX2"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"MX2"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"CTSZ"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"CTSZ"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"C1QB"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"C1QB"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"BCL2A1"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"BCL2A1"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"OAZ1"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"OAZ1"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"CD81"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"CD81"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"STAG2"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"STAG2"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"SIAE"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"SIAE"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"ADA2"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"ADA2"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"ABCB8"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"ABCB8"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"STAT1"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"STAT1"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"SAMD9L"	""	"COVID-19 patients and healthy controls (Wuhan, China; and New York, USA)"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"SAMD9L"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	"time of diagnosis and post-mortem"	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"""(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"764"	"33013872_16_764"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	"NCIT:C13195"
