""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"additional_exposure_material"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"	"signature_file_complete"	"exposure_material_id_1"	"exposure_material_id_2"	"target_pathogen_taxonid_1"	"target_pathogen_taxonid_2"	"target_pathogen_taxonid_3"	"target_pathogen_taxonid_4"	"target_pathogen_taxonid_5"	"target_pathogen_taxonid_6"	"target_pathogen_taxonid_7"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"BBX"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"BBX"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"JMY"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"JMY"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"RBM39"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"RBM39"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"LCOR"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"LCOR"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"BACH2"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"BACH2"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"AFF3"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"AFF3"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"GAS5"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"GAS5"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"NAP1L5"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"NAP1L5"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"PLA2G12A"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"PLA2G12A"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"HEATR1"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"HEATR1"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"PTCD3"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"PTCD3"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"SGTB"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"SGTB"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"TENT4B"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"PAPD5"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"FNBP4"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"FNBP4"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"GNAS"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"GNAS"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"GKAP1"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"GKAP1"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"KLF12"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"KLF12"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"FUS"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"FUS"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"LY9"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"LY9"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"NKTR"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"NKTR"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"SRSF3"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"SFRS3"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"TRMT13"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CCDC76"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"CTLA4"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CTLA4"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"ITPKB"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"ITPKB"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"CTC1"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"C17orf68"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"RORA"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"RORA"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"CHD1"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CHD1"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
