""	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material"	"exposure_material_id"	"additional_exposure_material"	"target_pathogen"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"signature_source_url"	"comments"	"cell_ontology_id"	"pro_ontology_id"	"response_comp_orig_cnt"	"response_comp_cnt"	"subm_obs_id"	"uniq_obs_id"	"row_key"
""	"CD4-positive, alpha-beta T cell & IFNG+"	""	""	"18"	"55"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"interferon-gamma+ CD4 T cells"	"cell type frequency"	"up"	"29d vs 0d"	"time of vaccination (first dose)"	"29"	"days"	"VPM1002"	"VO:0003131"	""	"mycobacterium tuberculosis variant bovis BCG"	""	""	""	""	"23290835"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23290835"	"Fig 3A"	"https://www.sciencedirect.com/science/article/pii/S0264410X12018403?via%3Dihub#fig0015"	""	"CL:0000624"	"PR:000000017"	"1"	"1"	"1"	"41"	"23290835_1_41"
""	"CD4-positive, alpha-beta T cell & IFNG+, TNF-a+, IL-2+"	""	""	"18"	"55"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"triple-positive (interferon-gamma, tumor necrosis factor-alpha, interleukin-2) CD4 T cells"	"cell type frequency"	"up"	"VPM1002-3 vs BCG vaccine"	"time of vaccination (first dose)"	"29"	"days"	"BCG vaccine; VPM1002"	"VO:0000771; VO:0003131"	""	"mycobacterium tuberculosis variant bovis BCG"	""	""	""	""	"23290835"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23290835"	"Fig 3B"	"https://www.sciencedirect.com/science/article/pii/S0264410X12018403?via%3Dihub#fig0015"	""	"CL:0000624"	"PR:000000017, PR:000000134, PR:000001379"	"1"	"1"	"2"	"42"	"23290835_2_42"
""	"CD8-positive, alpha-beta T cell & IL17A+"	""	"infants"	""	""	""	""	"blood"	"UBERON:0000178"	"CD8+ interleukin-17+ (IL-17+) cells"	"cell type frequency"	"up"	"14d vs 0d"	"time of vaccination (first dose)"	"14"	"days"	"BCG vaccine; VPM1002"	"VO:0000771; VO:0003131"	""	"mycobacterium tuberculosis variant bovis BCG"	""	""	""	""	"27974398"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27974398"	"Fig 4B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5299117/figure/F4/"	""	"CL:0000625"	"PR:000001138"	"1"	"1"	"1"	"43"	"27974398_1_43"
""	"CD8-positive, alpha-beta T cell & IL17A+"	""	"infants"	""	""	""	""	"blood"	"UBERON:0000178"	"CD8+ interleukin-17+ (IL-17+) cells"	"cell type frequency"	"up"	"6m vs 0m"	"time of vaccination (first dose)"	"6"	"months"	"BCG vaccine; VPM1002"	"VO:0000771; VO:0003131"	""	"mycobacterium tuberculosis variant bovis BCG"	""	""	""	""	"27974398"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27974398"	"Fig 4B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5299117/figure/F4/"	""	"CL:0000625"	"PR:000001138"	"1"	"1"	"2"	"44"	"27974398_2_44"
""	"leukocyte; neutrophil; lymphocyte; eosinophil"	""	""	"18"	"40"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"white blood cell; neutrophil; lymphocyte; eosinophil"	"cell type frequency"	"down"	"7d vs 0d"	"time of vaccination (first dose)"	"7"	"days"	"YF-VAX"	"VO:0000121"	""	"yellow fever virus 17D"	""	""	""	""	"17651872"	"2007"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"	"Text: Study Summaries and Clinical Observations"	""	""	"CL:0000738"	""	"4"	"4"	"1"	"45"	"17651872_1_45"
""	"IgG memory B cell & CD3-, CD19+, CD27+, HLADR+, IgG+; IgG memory B cell & CD3-, CD19+, CD27+, CD10-, CD20+, HLADR+, IgG+"	""	""	"65"	"83"	"years"	""	"blood"	"UBERON:0000178"	"switched IgG+ memory B cells (CD3-, CD19+, HLADR+, CD27+, IgG+); IgG+ memory B cells (CD3-, CD19+, HLADR+, CD27+, CD10-, CD20+, IgG+)"	"cell type frequency"	"positively predictive"	"anti-HBsAg ab titre"	"time of vaccination (first dose)"	"0"	"days"	"Twinrix"	"VO:0000113"	""	"hepatitis B virus"	""	""	""	""	"26742691"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"Fig 5b; Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4729923/table/t1/"	"EM131 elderly cohort (65-83)"	"CL:0000979"	"PR:000001020, PR:000001002, PR:000001963"	"2"	"2"	"1"	"46"	"26742691_1_46"
""	"CD4-positive, alpha-beta T cell & TEM2+; plasmacytoid dendritic cell & CD40+"	""	""	"65"	"83"	"years"	""	"blood"	"UBERON:0000178"	"TEM2+ CD4+ T Cell; CD40+ pDC"	"cell type frequency"	"positively correlated"	"anti-HBsAg ab titre"	"time of vaccination (first dose)"	"0"	"days"	"Twinrix"	"VO:0000113"	""	"hepatitis B virus"	""	""	""	""	"26742691"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"Fig 5a"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4729923/figure/f5"	"EM131 elderly cohort (65-83)"	"CL:0000624"	"PR:Q96D21 "	"2"	"2"	"2"	"47"	"26742691_2_47"
""	"memory B cell"	""	""	"50"	"74"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"memory B cell"	"cell type frequency"	"up"	"28d vs 0d"	"time of vaccination (first dose)"	"28"	"days"	"Fluarix"	"VO:0000045"	""	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	""	""	""	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"Text: Subjects Demographics and Memory B cell ELISPOT response"	""	""	"CL:0000787"	""	"1"	"1"	"1"	"48"	"27317456_1_48"
""	"IgG plasmablast"	""	"adults"	""	""	""	""	"peripheral blood mononuclear cell"	"CL:2000001"	"IgG+ Antibody secreting cells"	"cell type frequency"	"up"	"7d vs 0d"	"time of vaccination (first dose)"	"7"	"days"	"Fluvirin; Pandemrix"	"VO:0000046; VO:0000410"	""	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Brisbane/60/2008); influenza A virus (A/California/7/2009(H1N1))"	"2009, pan"	""	""	""	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/"	"Fig 3a"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F3/"	""	"CL:0000982"	""	"1"	"1"	"1"	"49"	"24725414_1_49"
""	"monocyte & CD40+; CD8-positive, alpha-beta T cell & CD38+; monocyte & CD86+; naive B cell & CD86+; CD8-positive, alpha-beta T cell & CD69+; CD8-positive, CD25-positive, alpha-beta regulatory T cell; memory B cell & CD27+, CD38+, IgD+; CD4-positive, alpha-beta T cell & IL-2+; CD4-positive, alpha-beta T cell & HLA-DR+; CD4-positive, alpha-beta T cell & CD103+; CD14-positive monocyte & CD45+, viable; IgD-negative memory B cell & CD80+, CD27+; CD8-positive, alpha-beta T cell & CD103+; dendritic cell & interferon alpha+; CD8-positive, alpha-beta T cell & HLA-DR+; CD4-positive, alpha-beta T cell & IL-4+"	""	"adults"	""	""	""	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD40+ monocytes; CD38+ of CD8+ T cells; CD86+ monocytes; CD86+ of naive B cells; CD69+ of CD8+ T cells; CD25+ of CD8+ Tcells; CD38+ of IgD+CD27+ memory B cells; IL2+ of CD4+ T cells; HLA-DR+ of CD4+ T cells; CD103+ of CD4+ T cells; CD14+ of viable CD45+ cells (Total monocytes); CD80+ of IgD-CD27+ memory B cells; CD103+ of CD8+ T cells; IFNa+ of pDCs; HLA-DR+ of CD8+ T cells; IL4+ of CD4+ T cells"	"cell type frequency"	"up"	"1d vs 0d"	"time of vaccination (first dose)"	"1"	"days"	"Fluvirin; Pandemrix"	"VO:0000046; VO:0000410"	""	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Brisbane/60/2008); influenza A virus (A/California/7/2009(H1N1))"	"2009, pan"	""	""	""	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/"	"Fig 3d"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F3/"	""	"CL:0000576"	"PR:000001961"	"16"	"16"	"2"	"50"	"24725414_2_50"
""	"plasmablast & CD21+; IgA memory B cell & CD27+, IgD-"	""	"adults"	""	""	""	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD21+ plasmablast; IgA+ of IgD-CD27+ memory B cells"	"cell type frequency"	"down"	"7d vs 0d"	"time of vaccination (first dose)"	"7"	"days"	"Fluvirin; Pandemrix"	"VO:0000046; VO:0000410"	""	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Brisbane/60/2008); influenza A virus (A/California/7/2009(H1N1))"	"2009, pan"	""	""	""	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/"	"Fig 3d"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F3/"	""	"CL:0000980"	"PR:000001338"	"2"	"2"	"3"	"51"	"24725414_3_51"
""	"plasmablast & CD27-hi, CD38-hi, CD20-; IgD-negative memory B cell & CD27+, CD38+; B cell & CD20+, CD86+; CD4-positive, alpha-beta T cell & CD38+; naive B cell & CD86+; CD4-positive, alpha-beta T cell & IL-4+; CD8-positive, alpha-beta T cell & CD39+; IgD-negative memory B cell & CD86+, CD27-"	""	"adults"	""	""	""	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD27hi CD38hi of CD20- B cells (plasmablasts); CD38+ of IgD-CD27+ memory B cells; CD86+ of CD20+ B cells; CD38+ of CD4+ T cells; CD86+ of Naive B Cells; IL4+ of CD4+ T cells; CD39+ of CD8+ T cells; CD86+ of IgD-CD27- memory B cells"	"cell type frequency"	"up"	"7d vs 0d"	"time of vaccination (first dose)"	"7"	"days"	"Fluvirin; Pandemrix"	"VO:0000046; VO:0000410"	""	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Brisbane/60/2008); influenza A virus (A/California/7/2009(H1N1))"	"2009, pan"	""	""	""	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/"	"Fig 3d"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F3/"	""	"CL:0000980"	"PR:000001963, PR:000001408, PR:000001289"	"8"	"8"	"4"	"52"	"24725414_4_52"
""	"plasmablast"	""	"adults"	""	""	""	""	"peripheral blood mononuclear cell"	"CL:2000001"	"plasmablast"	"cell type frequency"	"up"	"low baseline titer group vs high baseline titer group"	"time of vaccination (first dose)"	"7"	"days"	"Fluvirin; Pandemrix"	"VO:0000046; VO:0000410"	""	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Brisbane/60/2008); influenza A virus (A/California/7/2009(H1N1))"	"2009, pan"	""	""	""	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/"	"Fig 4c"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F4/"	""	"CL:0000980"	""	"1"	"1"	"5"	"53"	"24725414_5_53"
""	"CD4-positive, alpha-beta T cell & IL22+, CD161-; CD4-positive, alpha-beta T cell & IL-2+; transitional stage B cell & CD38+; B cell & CD20+, CD27+, CD38+, IgD-; memory B cell & CD27+, CD38+, IgD+; naive B cell & CD38+"	""	"adults"	""	""	""	""	"peripheral blood mononuclear cell"	"CL:2000001"	"IL22+ of CD161- CD4+ T cells; IL2+ of CD4+ T cells; CD38+ of transitional B cells; CD38+ of CD20+IgD-CD27+ B cells; CD38+ of IgD+CD27+ memory B cells; CD38+ of Naive B cells"	"cell type frequency"	"positively predictive"	"d28 HAI"	"time of vaccination (first dose)"	"0"	"days"	"Fluvirin; Pandemrix"	"VO:0000046; VO:0000410"	""	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Brisbane/60/2008); influenza A virus (A/California/7/2009(H1N1))"	"2009, pan"	""	""	""	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/"	"Fig 6c"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F6/"	""	"CL:0000624"	"PR:000001383, PR:000025670 "	"6"	"6"	"6"	"54"	"24725414_6_54"
""	"CD4-positive, alpha-beta memory T cell & CD27+, CCR7-"	""	"adults"	""	""	""	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD27+CCR7- of memory CD4+ T cells"	"cell type frequency"	"negatively predictive"	"d28 HAI"	"time of vaccination (first dose)"	"0"	"days"	"Fluvirin; Pandemrix"	"VO:0000046; VO:0000410"	""	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Brisbane/60/2008); influenza A virus (A/California/7/2009(H1N1))"	"2009, pan"	""	""	""	"24725414"	"2014"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/"	"Fig 6c"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F6/"	""	"CL:0000897"	"PR:000001963, PR:000001203 "	"1"	"1"	"7"	"55"	"24725414_7_55"
""	"IgG plasmablast & influenza-specific"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"influenza-specific IgG secreting plasmablasts"	"cell type frequency"	"positively correlated"	"HAI response at 28 days"	"time of vaccination (first dose)"	"7"	"days"	"Fluarix; Fluvirin"	"VO:0000045; VO:0000046"	""	"influenza A virus (A/Solomon Islands/3/2006(H1N1)); influenza A virus (A/Wisconsin/67/2005(H3N2)); influenza B virus (B/Malaysia/2506/2004); influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006); influenza B virus (B/Brisbane/60/2008)"	"2007, 2008, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/"	"Fig 1e"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/figure/F1/"	""	"CL:0000982"	""	"1"	"1"	"1"	"56"	"21743478_1_56"
""	"IgM plasmablast & influenza-specific"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"influenza-specific IgM secreting plasmablasts"	"cell type frequency"	"positively correlated"	"HAI response at 28 days"	"time of vaccination (first dose)"	"7"	"days"	"Fluarix; Fluvirin"	"VO:0000045; VO:0000046"	""	"influenza A virus (A/Solomon Islands/3/2006(H1N1)); influenza A virus (A/Wisconsin/67/2005(H3N2)); influenza B virus (B/Malaysia/2506/2004); influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006); influenza B virus (B/Brisbane/60/2008)"	"2007, 2008, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/"	"Supp Fig 1b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/#SD1"	""	"CL:0000983"	""	"1"	"1"	"2"	"57"	"21743478_2_57"
""	"IgA plasmablast & influenza-specific"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"influenza-specific IgA secreting plasmablasts"	"cell type frequency"	"positively correlated"	"HAI response at 28 days"	"time of vaccination (first dose)"	"7"	"days"	"Fluarix; Fluvirin"	"VO:0000045; VO:0000046"	""	"influenza A virus (A/Solomon Islands/3/2006(H1N1)); influenza A virus (A/Wisconsin/67/2005(H3N2)); influenza B virus (B/Malaysia/2506/2004); influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006); influenza B virus (B/Brisbane/60/2008)"	"2007, 2008, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/"	"Supp Fig 1b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/#SD1"	""	"CL:0000984"	""	"1"	"1"	"3"	"58"	"21743478_3_58"
""	"IgG plasmablast & influenza-specific"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"influenza-specific IgG secreting plasmablasts"	"cell type frequency"	"positively correlated"	"total plasmablast"	"time of vaccination (first dose)"	"7"	"days"	"Fluarix; Fluvirin"	"VO:0000045; VO:0000046"	""	"influenza A virus (A/Solomon Islands/3/2006(H1N1)); influenza A virus (A/Wisconsin/67/2005(H3N2)); influenza B virus (B/Malaysia/2506/2004); influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006); influenza B virus (B/Brisbane/60/2008)"	"2007, 2008, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/"	"Fig 1d"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/figure/F1/"	""	"CL:0000982"	""	"1"	"1"	"4"	"59"	"21743478_4_59"
""	"IgG plasmablast & influenza-specific"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"influenza-specific IgG secreting plasmablasts"	"cell type frequency"	"positively correlated"	"total plasmablast"	"time of vaccination (first dose)"	"7"	"days"	"FluMist"	"VO:0000044"	""	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006)"	"2008"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/"	"Fig 1d"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/figure/F1/"	""	"CL:0000982"	""	"1"	"1"	"5"	"60"	"21743478_5_60"
""	"naive B cell & CD19+, CD27-, IgD-; IgD-negative memory B cell & CD19+, CD27+; transitional stage B cell & CD19+, CD24+, CD38+"	""	"subgroup LAIV"	"0.5"	"14"	"years"	"29"	"blood"	"UBERON:0000178"	"naive B cells (CD19-positive, IgD-negative, CD27-negative) (CL_0000788); memory B cells (CD19+, IgD-, CD27+) (CL_0001053); transitional B cells (CD19+, CD24+, CD38+) (CL_0000818)"	"cell type frequency"	"up"	"30d vs 0d"	"time of vaccination (first dose)"	"27 to 33"	"days"	"Fluzone"	"VO:0000047"	""	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/"	"Fig 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/figure/JIU079F1/"	""	"CL:0000788"	"PR:000001002, PR:000001963"	"3"	"3"	"1"	"61"	"24495909_1_61"
""	"plasmablast & CD19+, CD27+, CD38+"	""	"subgroup TIV"	"0.5"	"14"	"years"	"29"	"blood"	"UBERON:0000178"	"plasmablasts (CD19+, CD27+, CD38+)"	"cell type frequency"	"up"	"7d vs 0d"	"time of vaccination (first dose)"	"6 to 8"	"days"	"Fluzone"	"VO:0000047"	""	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/"	"Fig 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/figure/JIU079F1/"	""	"CL:0000980"	"PR:000001002, PR:000001963, PR:000001408"	"1"	"1"	"2"	"62"	"24495909_2_62"
""	"plasmablast; plasma cell"	""	"subgroup TIV"	"0.5"	"14"	"years"	"29"	"blood"	"UBERON:0000178"	"plasmablast; plasma cell"	"cell type frequency"	"positively correlated"	"HI titers to H3N2 and B strains at 30 days"	"time of vaccination (first dose)"	"6 to 8"	"days"	"Fluzone"	"VO:0000047"	""	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/"	"Fig 2A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/figure/JIU079F2/"	""	"CL:0000980"	""	"2"	"2"	"3"	"63"	"24495909_3_63"
""	"plasmablast"	""	"subgroup TIV"	"0.5"	"14"	"years"	"29"	"blood"	"UBERON:0000178"	"plasmablast"	"cell type frequency"	"positively correlated"	"VN titer to B strain at 30 days"	"time of vaccination (first dose)"	"6 to 8"	"days"	"Fluzone"	"VO:0000047"	""	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/"	"Fig 2B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/figure/JIU079F2/"	""	"CL:0000980"	""	"1"	"1"	"4"	"64"	"24495909_4_64"
""	"plasma cell"	""	"subgroup TIV"	"0.5"	"14"	"years"	"29"	"blood"	"UBERON:0000178"	"plasma cell"	"cell type frequency"	"positively correlated"	"VN titer to H1N1, H3N2, B strains at 30 days"	"time of vaccination (first dose)"	"6 to 8"	"days"	"Fluzone"	"VO:0000047"	""	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/"	"Fig 2B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/figure/JIU079F2/"	""	"CL:0000786"	""	"1"	"1"	"5"	"65"	"24495909_5_65"
""	"plasmablast"	""	"subgroup LAIV"	"0.5"	"14"	"years"	"29"	"blood"	"UBERON:0000178"	"plasmablast"	"cell type frequency"	"positively correlated"	"H3N2 VN titer at 30 days"	"time of vaccination (first dose)"	"6 to 8"	"days"	"FluMist"	"VO:0000044"	""	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	""	""	""	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/"	"(Fig 2B) Text: Antibody-Secreting Cells Correlate With Antibody Titers on TIV Recipients"	""	""	"CL:0000980"	""	"1"	"1"	"6"	"66"	"24495909_6_66"
""	"natural killer cell"	""	"young (<65 yo), elderly (>65 yo)"	""	""	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"natural killer cell"	"cell type frequency"	"up"	"young adults vs old adults"	"time of vaccination (first dose)"	"0"	"days"	"Inactivated influenza vaccine"	"VO:0001176"	""	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	""	""	""	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"Fig 5A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/"	""	"CL:0000623"	""	"1"	"1"	"1"	"67"	"26682988_1_67"
""	"CD16-positive, CD56-dim natural killer cell, human & CD16++"	""	"young (<65 yo), elderly (>65 yo)"	""	""	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD56dim CD16++ natural killer cells"	"cell type frequency"	"up"	"seniors vs adults"	"time of vaccination (first dose)"	"0"	"days"	"Inactivated influenza vaccine"	"VO:0001176"	""	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	""	""	""	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"Fig 5C"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/"	"5A is comparisions within group against baseline"	"CL:0000939"	"PR:000001483"	"1"	"1"	"2"	"68"	"26682988_2_68"
""	"natural killer cell & CD56-bright; natural killer cell & CD56++, CD16+"	""	"young (<65 yo), elderly (>65 yo)"	""	""	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD56++ natural killer cells; CD56++ CD16+ Natural Killer cells"	"cell type frequency"	"up"	"adults vs seniors"	"time of vaccination (first dose)"	"0"	"days"	"Inactivated influenza vaccine"	"VO:0001176"	""	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	""	""	""	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"Fig 5C"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/"	""	"CL:0000623"	"PR:000001024"	"2"	"2"	"3"	"69"	"26682988_3_69"
""	"natural killer cell"	""	"young (<65 yo), elderly (>65 yo)"	""	""	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"natural killer cell"	"cell type frequency"	"up"	"seniors vs adults"	"time of vaccination (first dose)"	"1"	"day"	"Inactivated influenza vaccine"	"VO:0001176"	""	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	""	""	""	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"Fig 5A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/"	""	"CL:0000623"	""	"1"	"1"	"4"	"70"	"26682988_4_70"
""	"natural killer cell"	""	"young (<65 yo), elderly (>65 yo)"	""	""	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"natural killer cell"	"cell type frequency"	"up"	"seniors vs adults"	"time of vaccination (first dose)"	"3"	"days"	"Inactivated influenza vaccine"	"VO:0001176"	""	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	""	""	""	"26682988"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"Fig 5A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/"	""	"CL:0000623"	""	"1"	"1"	"5"	"71"	"26682988_5_71"
