"X."	"tissue_type"	"response_component_original"	"response_comp_orig_cnt"	"response_component"	"response_comp_cnt"	"cell_ontology_id"	"pro_ontology_id"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"cohort"	"adjuvant"	"route"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"short_comment"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"row_key"
""	"peripheral blood mononuclear cell"	"triple-positive (interferon-gamma, tumor necrosis factor-alpha, interleukin-2) CD4 T cells"	"1"	"CD4-positive, alpha-beta T cell & IFNG+, TNF-a+, IL-2+"	"1"	"CL_0000624"	"PR:000000017, PR:000000134, PR:000001379"	"cell type frequency"	"up"	"none"	"29"	"Days"	"time of vaccination (first dose)"	"mycobacterium bovis BCG"	""	"BCG vaccine; VPM1002"	"VO_0000771; VO_0003131"	""	"VPM1002-3 vs BCG vaccine"	"adults (18-55)"	""	""	"23290835"	"2013"	"Fig 3B"	"https://www.sciencedirect.com/science/article/pii/S0264410X12018403?via%3Dihub#fig0015"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23290835"	"adults"	"18"	"55"	"years"	"2"	"42"	"23290835_2_42"
""	"blood"	"CD8+ interleukin-17+ (IL-17+) cells"	"1"	"CD8-positive, alpha-beta T cell & IL17A+"	"1"	"CL_0000625"	"PR:000001138"	"cell type frequency"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"mycobacterium bovis BCG"	""	"BCG vaccine; VPM1002"	"VO_0000771; VO_0003131"	""	"14d vs 0d"	"infants"	""	""	"27974398"	"2017"	"Fig 4B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5299117/figure/F4/"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27974398"	"infants"	""	""	""	"1"	"43"	"27974398_1_43"
""	"blood"	"CD8+ interleukin-17+ (IL-17+) cells"	"1"	"CD8-positive, alpha-beta T cell & IL17A+"	"1"	"CL_0000625"	"PR:000001138"	"cell type frequency"	"up"	"none"	"6"	"Months"	"time of vaccination (first dose)"	"mycobacterium bovis BCG"	""	"BCG vaccine; VPM1002"	"VO_0000771; VO_0003131"	""	"6m vs 0m"	"infants"	""	""	"27974398"	"2017"	"Fig 4B"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5299117/figure/F4/"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27974398"	"infants"	""	""	""	"2"	"44"	"27974398_2_44"
""	"peripheral blood mononuclear cell"	"white blood cell; neutrophil; lymphocyte; eosinophil"	"4"	"leukocyte; neutrophil; lymphocyte; eosinophil"	"4"	"CL_0000738"	""	"cell type frequency"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"yellow fever virus 17D"	""	"YF-VAX"	"VO_0000121"	""	"7d vs 0d"	"adults (18-40)"	""	""	"17651872"	"2007"	"Text: Study Summaries and Clinical Observations"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"	"adults"	"18"	"40"	"years"	"1"	"45"	"17651872_1_45"
""	"blood"	"switched IgG+ memory B cells (CD3-, CD19+, HLADR+, CD27+, IgG+); IgG+ memory B cells (CD3-, CD19+, HLADR+, CD27+, CD10-, CD20+, IgG+)"	"2"	"IgG memory B cell & CD3-, CD19+, CD27+, HLADR+, IgG+; IgG memory B cell & CD3-, CD19+, CD27+, CD10-, CD20+, HLADR+, IgG+"	"2"	"CL_0000979"	"PR:000001020, PR_000001002, PR:000001963"	"cell type frequency"	"positive"	"none"	"0"	"Days"	"time of vaccination (first dose)"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"predictive of anti-HBsAg ab titre"	"seniors (65-83)"	""	""	"26742691"	"2016"	"Fig 5b; Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4729923/table/t1/"	"EM131 elderly cohort (65-83)"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"seniors"	"65"	"83"	"years"	"1"	"46"	"26742691_1_46"
""	"blood"	"TEM2+ CD4+ T Cell; CD40+ pDC"	"2"	"CD4-positive, alpha-beta T cell & TEM2+; plasmacytoid dendritic cell & CD40+"	"2"	"CL_0000624"	"PR_Q96D21 "	"cell type frequency"	"negative"	"none"	"0"	"Days"	"time of vaccination (first dose)"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"correlated with anti-HBsAg ab titre"	"seniors (65-83)"	""	""	"26742691"	"2016"	"Fig 5a"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4729923/figure/f5"	"EM131 elderly cohort (65-83)"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"seniors"	"65"	"83"	"years"	"2"	"47"	"26742691_2_47"
""	"peripheral blood mononuclear cell"	"memory B cell"	"1"	"memory B cell"	"1"	"CL_0000787"	""	"cell type frequency"	"up"	"none"	"28"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Fluarix"	"VO_0000045"	""	"28d vs 0d"	"adults(50-74)"	""	""	"27317456"	"2016"	"Text: Subjects Demographics and Memory B cell ELISPOT response"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"adults, seniors"	"50"	"74"	"years"	"1"	"48"	"27317456_1_48"
""	"peripheral blood mononuclear cell"	"IgG+ Antibody secreting cells"	"1"	"IgG plasmablast"	"1"	"CL_0000982"	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Brisbane/60/2008); influenza A virus (A/California/7/2009(H1N1))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000046; VO_0000410"	""	"7d vs 0d"	"adults"	""	""	"24725414"	"2014"	"Fig 3a"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F3/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/"	"adults"	""	""	""	"1"	"49"	"24725414_1_49"
""	"peripheral blood mononuclear cell"	"CD40+ monocytes; CD38+ of CD8+ T cells; CD86+ monocytes; CD86+ of naive B cells; CD69+ of CD8+ T cells; CD25+ of CD8+ Tcells; CD38+ of IgD+CD27+ memory B cells; IL2+ of CD4+ T cells; HLA-DR+ of CD4+ T cells; CD103+ of CD4+ T cells; CD14+ of viable CD45+ cells (Total monocytes); CD80+ of IgD-CD27+ memory B cells; CD103+ of CD8+ T cells; IFNa+ of pDCs; HLA-DR+ of CD8+ T cells; IL4+ of CD4+ T cells"	"16"	"monocyte & CD40+; CD8-positive, alpha-beta T cell & CD38+; monocyte & CD86+; naive B cell & CD86+; CD8-positive, alpha-beta T cell & CD69+; CD8-positive, CD25-positive, alpha-beta regulatory T cell; memory B cell & CD27+, CD38+, IgD+; CD4-positive, alpha-beta T cell & IL-2+; CD4-positive, alpha-beta T cell & HLA-DR+; CD4-positive, alpha-beta T cell & CD103+; CD14-positive monocyte & CD45+, viable; IgD-negative memory B cell & CD80+, CD27+; CD8-positive, alpha-beta T cell & CD103+; dendritic cell & interferon alpha+; CD8-positive, alpha-beta T cell & HLA-DR+; CD4-positive, alpha-beta T cell & IL-4+"	"16"	"CL_0000576"	"PR:000001961"	"cell type frequency"	"up"	"none"	"1"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Brisbane/60/2008); influenza A virus (A/California/7/2009(H1N1))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000046; VO_0000410"	""	"1d vs 0d"	"adults"	""	""	"24725414"	"2014"	"Fig 3d"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F3/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/"	"adults"	""	""	""	"2"	"50"	"24725414_2_50"
""	"peripheral blood mononuclear cell"	"CD21+ plasmablast; IgA+ of IgD-CD27+ memory B cells"	"2"	"plasmablast & CD21+; IgA memory B cell & CD27+, IgD-"	"2"	"CL_0000980"	"PR:000001338"	"cell type frequency"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Brisbane/60/2008); influenza A virus (A/California/7/2009(H1N1))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000046; VO_0000410"	""	"7d vs 0d"	"adults"	""	""	"24725414"	"2014"	"Fig 3d"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F3/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/"	"adults"	""	""	""	"3"	"51"	"24725414_3_51"
""	"peripheral blood mononuclear cell"	"CD27hi CD38hi of CD20- B cells (plasmablasts); CD38+ of IgD-CD27+ memory B cells; CD86+ of CD20+ B cells; CD38+ of CD4+ T cells; CD86+ of Naive B Cells; IL4+ of CD4+ T cells; CD39+ of CD8+ T cells; CD86+ of IgD-CD27- memory B cells"	"8"	"plasmablast & CD27-hi, CD38-hi, CD20-; IgD-negative memory B cell & CD27+, CD38+; B cell & CD20+, CD86+; CD4-positive, alpha-beta T cell & CD38+; naive B cell & CD86+; CD4-positive, alpha-beta T cell & IL-4+; CD8-positive, alpha-beta T cell & CD39+; IgD-negative memory B cell & CD86+, CD27-"	"8"	"CL_0000980"	"PR:000001963, PR:000001408, PR:000001289"	"cell type frequency"	"up"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Brisbane/60/2008); influenza A virus (A/California/7/2009(H1N1))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000046; VO_0000410"	""	"7d vs 0d"	"adults"	""	""	"24725414"	"2014"	"Fig 3d"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F3/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/"	"adults"	""	""	""	"4"	"52"	"24725414_4_52"
""	"peripheral blood mononuclear cell"	"plasmablast"	"1"	"plasmablast"	"1"	"CL_0000980"	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Brisbane/60/2008); influenza A virus (A/California/7/2009(H1N1))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000046; VO_0000410"	""	"low baseline titer group vs high baseline titer group"	"adults"	""	""	"24725414"	"2014"	"Fig 4c"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F4/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/"	"adults"	""	""	""	"5"	"53"	"24725414_5_53"
""	"peripheral blood mononuclear cell"	"IL22+ of CD161- CD4+ T cells; IL2+ of CD4+ T cells; CD38+ of transitional B cells; CD38+ of CD20+IgD-CD27+ B cells; CD38+ of IgD+CD27+ memory B cells; CD38+ of Naive B cells"	"6"	"CD4-positive, alpha-beta T cell & IL22+, CD161-; CD4-positive, alpha-beta T cell & IL-2+; transitional stage B cell & CD38+; B cell & CD20+, CD27+, CD38+, IgD-; memory B cell & CD27+, CD38+, IgD+; naive B cell & CD38+"	"6"	"CL_0000624"	"PR_000001383, PR_000025670 "	"cell type frequency"	"positive"	"none"	"0"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Brisbane/60/2008); influenza A virus (A/California/7/2009(H1N1))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000046; VO_0000410"	""	"predictive of d28 HAI"	"adults"	""	""	"24725414"	"2014"	"Fig 6c"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F6/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/"	"adults"	""	""	""	"6"	"54"	"24725414_6_54"
""	"peripheral blood mononuclear cell"	"CD27+CCR7- of memory CD4+ T cells"	"1"	"CD4-positive, alpha-beta memory T cell & CD27+, CCR7-"	"1"	"CL_0000897"	"PR:000001963, PR_000001203 "	"cell type frequency"	"negative"	"none"	"0"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Brisbane/60/2008); influenza A virus (A/California/7/2009(H1N1))"	"2009"	"Fluvirin; Pandemrix"	"VO_0000046; VO_0000410"	""	"predictive of d28 HAI"	"adults"	""	""	"24725414"	"2014"	"Fig 6c"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/figure/F6/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4139290/"	"adults"	""	""	""	"7"	"55"	"24725414_7_55"
""	"peripheral blood mononuclear cell"	"influenza-specific IgG secreting plasmablasts"	"1"	"IgG plasmablast & influenza-specific"	"1"	"CL_0000982"	""	"cell type frequency"	"positive"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1)); influenza A virus (A/Wisconsin/67/2005(H3N2)); influenza B virus (B/Malaysia/2506/2004); influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006); influenza B virus (B/Brisbane/60/2008)"	"2007, 2008, 2009"	"Fluarix; Fluvirin"	"VO_0000045; VO_0000046"	""	"correlated with HAI response at 28 days"	"young adults (18-50yrs)"	""	""	"21743478"	"2011"	"Fig 1e"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/figure/F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/"	"adults"	"18"	"50"	"years"	"1"	"56"	"21743478_1_56"
""	"peripheral blood mononuclear cell"	"influenza-specific IgM secreting plasmablasts"	"1"	"IgM plasmablast & influenza-specific"	"1"	"CL_0000983"	""	"cell type frequency"	"positive"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1)); influenza A virus (A/Wisconsin/67/2005(H3N2)); influenza B virus (B/Malaysia/2506/2004); influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006); influenza B virus (B/Brisbane/60/2008)"	"2007, 2008, 2009"	"Fluarix; Fluvirin"	"VO_0000045; VO_0000046"	""	"correlated with HAI response at 28 days"	"young adults (18-50yrs)"	""	""	"21743478"	"2011"	"Supp Fig 1b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/#SD1"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/"	"adults"	"18"	"50"	"years"	"2"	"57"	"21743478_2_57"
""	"peripheral blood mononuclear cell"	"influenza-specific IgA secreting plasmablasts"	"1"	"IgA plasmablast & influenza-specific"	"1"	"CL_0000984"	""	"cell type frequency"	"positive"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1)); influenza A virus (A/Wisconsin/67/2005(H3N2)); influenza B virus (B/Malaysia/2506/2004); influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006); influenza B virus (B/Brisbane/60/2008)"	"2007, 2008, 2009"	"Fluarix; Fluvirin"	"VO_0000045; VO_0000046"	""	"correlated with HAI response at 28 days"	"young adults (18-50yrs)"	""	""	"21743478"	"2011"	"Supp Fig 1b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/#SD1"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/"	"adults"	"18"	"50"	"years"	"3"	"58"	"21743478_3_58"
""	"peripheral blood mononuclear cell"	"influenza-specific IgG secreting plasmablasts"	"1"	"IgG plasmablast & influenza-specific"	"1"	"CL_0000982"	""	"cell type frequency"	"positive"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/Solomon Islands/3/2006(H1N1)); influenza A virus (A/Wisconsin/67/2005(H3N2)); influenza B virus (B/Malaysia/2506/2004); influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006); influenza B virus (B/Brisbane/60/2008)"	"2007, 2008, 2009"	"Fluarix; Fluvirin"	"VO_0000045; VO_0000046"	""	"correlated with total plasmablast"	"young adults (18-50yrs)"	""	""	"21743478"	"2011"	"Fig 1d"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/figure/F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/"	"adults"	"18"	"50"	"years"	"4"	"59"	"21743478_4_59"
""	"peripheral blood mononuclear cell"	"influenza-specific IgG secreting plasmablasts"	"1"	"IgG plasmablast & influenza-specific"	"1"	"CL_0000982"	""	"cell type frequency"	"positive"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/Brisbane/59/2007(H1N1)); influenza A virus (A/Brisbane/10/2007(H3N2)); influenza B virus (B/Florida/4/2006)"	"2008"	"FluMist"	"VO_0000044"	""	"correlated with total plasmablast"	"young adults (18-50yrs)"	""	""	"21743478"	"2011"	"Fig 1d"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/figure/F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/"	"adults"	"18"	"50"	"years"	"5"	"60"	"21743478_5_60"
""	"blood"	"naive B cells (CD19-positive, IgD-negative, CD27-negative) (CL_0000788); memory B cells (CD19+, IgD-, CD27+) (CL_0001053); transitional B cells (CD19+, CD24+, CD38+) (CL_0000818)"	"3"	"naive B cell & CD19+, CD27-, IgD-; IgD-negative memory B cell & CD19+, CD27+; transitional stage B cell & CD19+, CD24+, CD38+"	"3"	"CL_0000788"	"PR_000001002, PR:000001963"	"cell type frequency"	"up"	"none"	"27 to 33"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Fluzone"	"VO_0000047"	""	"(27 to 33d) vs 0d"	"children (0.5-14yrs)"	""	""	"24495909"	"2014"	"Fig 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/figure/JIU079F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/"	"infants, children"	"0.5"	"14"	"years"	"1"	"61"	"24495909_1_61"
""	"blood"	"plasmablasts (CD19+, CD27+, CD38+)"	"1"	"plasmablast & CD19+, CD27+, CD38+"	"1"	"CL_0000980"	"PR_000001002, PR:000001963, PR:000001408"	"cell type frequency"	"up"	"none"	"6 to 8"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Fluzone"	"VO_0000047"	""	"(6 to 8)d vs 0d"	"children (0.5-14yrs)"	""	""	"24495909"	"2014"	"Fig 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/figure/JIU079F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/"	"infants, children"	"0.5"	"14"	"years"	"2"	"62"	"24495909_2_62"
""	"blood"	"plasmablast; plasma cell"	"2"	"plasmablast; plasma cell"	"2"	"CL_0000980"	""	"cell type frequency"	"positive"	"none"	"6 to 8"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Fluzone"	"VO_0000047"	""	"(27 to 33d) vs 0d"	"children (0.5-14yrs)"	""	""	"24495909"	"2014"	"Fig 2"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/figure/JIU079F2/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/"	"infants, children"	"0.5"	"14"	"years"	"3"	"63"	"24495909_3_63"
""	"blood"	"plasmablast"	"1"	"plasmablast"	"1"	"CL_0000980"	""	"cell type frequency"	"positive"	"none"	"6 to 8"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Fluzone"	"VO_0000047"	""	"correlated with VN titer to B strain at 27 to 33 days"	"children (0.5-14yrs)"	""	""	"24495909"	"2014"	"Fig 2"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/figure/JIU079F2/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/"	"infants, children"	"0.5"	"14"	"years"	"4"	"64"	"24495909_4_64"
""	"blood"	"plasma cell"	"1"	"plasma cell"	"1"	"CL_0000786"	""	"cell type frequency"	"positive"	"none"	"6 to 8"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Fluzone"	"VO_0000047"	""	"correlated with VN titer to H1N1, H3N2, B strains at 27 to 33 days"	"children (0.5-14yrs)"	""	""	"24495909"	"2014"	"Fig 2"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/figure/JIU079F2/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/"	"infants, children"	"0.5"	"14"	"years"	"5"	"65"	"24495909_5_65"
""	"blood"	"plasmablast"	"1"	"plasmablast"	"1"	"CL_0000980"	""	"cell type frequency"	"positive"	"none"	"6 to 8"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"FluMist"	"VO_0000044"	""	"correlated with H3N2 VN titer at 27 to 33 days"	"children (0.5-14yrs)"	""	""	"24495909"	"2014"	"Text: Antibody-Secreting Cells Correlate With Antibody Titers on TIV Recipients"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/"	"infants, children"	"0.5"	"14"	"years"	"6"	"66"	"24495909_6_66"
""	"peripheral blood mononuclear cell"	"natural killer cell"	"1"	"natural killer cell"	"1"	"CL_0000623"	""	"cell type frequency"	"up"	"none"	"0"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"seniors vs adults"	"seniors (>65yrs), adults (<65 yrs)"	""	""	"26682988"	"2015"	"Fig 5A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"adults, seniors"	""	""	"years"	"1"	"67"	"26682988_1_67"
""	"peripheral blood mononuclear cell"	"CD56dim CD16++ natural killer cells"	"1"	"CD16-positive, CD56-dim natural killer cell, human & CD16++"	"1"	"CL_0000939"	"PR_000001483"	"cell type frequency"	"up"	"none"	"0"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"seniors vs adults"	"seniors (>65yrs), adults (<65 yrs)"	""	""	"26682988"	"2015"	"Fig 5C"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/"	"5A is comparisions within group against baseline"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"adults, seniors"	""	""	"years"	"2"	"68"	"26682988_2_68"
""	"peripheral blood mononuclear cell"	"CD56++ natural killer cells; CD56++ CD16+ Natural Killer cells"	"2"	"natural killer cell & CD56-bright; natural killer cell & CD56++, CD16+"	"2"	"CL_0000623"	"PR:000001024"	"cell type frequency"	"up"	"none"	"0"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"adults vs seniors"	"seniors (>65yrs), adults (<65 yrs)"	""	""	"26682988"	"2015"	"Fig 5C"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"adults, seniors"	""	""	"years"	"3"	"69"	"26682988_3_69"
""	"peripheral blood mononuclear cell"	"natural killer cell"	"1"	"natural killer cell"	"1"	"CL_0000623"	""	"cell type frequency"	"up"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"seniors vs adults"	"seniors (>65yrs), adults (<65 yrs)"	""	""	"26682988"	"2015"	"Fig 5A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"adults, seniors"	""	""	"years"	"4"	"70"	"26682988_4_70"
""	"peripheral blood mononuclear cell"	"natural killer cell"	"1"	"natural killer cell"	"1"	"CL_0000623"	""	"cell type frequency"	"up"	"none"	"3"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"seniors vs adults"	"seniors (>65yrs), adults (<65 yrs)"	""	""	"26682988"	"2015"	"Fig 5A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"adults, seniors"	""	""	"years"	"5"	"71"	"26682988_5_71"
""	"peripheral blood mononuclear cell"	"natural killer cell"	"1"	"natural killer cell"	"1"	"CL_0000623"	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1)); influenza A virus (A/Perth/16/2009(H3N2)); influenza B virus (B/Brisbane/60/2008)"	"2010"	"Inactivated influenza vaccine"	"VO_0001176"	""	"seniors vs adults"	"seniors (>65yrs), adults (<65 yrs)"	""	""	"26682988"	"2015"	"Fig 5A"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/"	"adults, seniors"	""	""	"years"	"6"	"72"	"26682988_6_72"
