	submission_name	submission_date	second_spot_check	spot_check	template_name	tissue_type	tissue_type_term_id	response_component	response_behavior_type	response_behavior	subgroup	time_point	time_point_units	baseline_time	target_pathogen	target_pathogen_taxonid	vaccine_year	exposure_material_text	exposure_material	additional_exposure_material	Group1	addntl_time_point_units	Group0	comparison	number_subjects	cohort	adjuvant	route	scheduling	publication_reference	publication_year	signature_source	signature_source_url	comments	short_comment	process_note	publication_reference_url	age_group	age_min	age_max	age_units	extra_comments
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	influenza-specific IgA secreting plasmablasts	cell type frequency	positively correlated with 	none	7	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2007, 2008, 2009	Fluarix; Fluvirin	VO_0000045; VO_0000046					HAI response at 28 days		young adults (18-50yrs)				21743478	2011	Supp Fig 1b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/#SD1				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/	adults	18	50	years	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	influenza-specific IgG secreting plasmablasts	cell type frequency	positively correlated with 	none	7	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2007, 2008, 2009	Fluarix; Fluvirin	VO_0000045; VO_0000046					total plasmablast		young adults (18-50yrs)				21743478	2011	Fig 1d	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/figure/F1/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/	adults	18	50	years	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	influenza-specific IgG secreting plasmablasts	cell type frequency	positively correlated with 	none	7	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2008	FluMist	VO_0000044 					total plasmablast		young adults (18-50yrs)				21743478	2011	Fig 1d	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/figure/F1/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/	adults	18	50	years	
			daniel	Amani		blood	UBERON_0000178	naive B cells (CD19-positive, IgD-negative, CD27-negative) (CL_0000788); memory B cells (CD19+, IgD-, CD27+) (CL_0001053); transitional B cells (CD19+, CD24+, CD38+) (CL_0000818)	cell type frequency	up for	none	27 to 33	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Fluzone	VO_0000047					(27 to 33d) vs 0d	29	children (0.5-14yrs)				24495909	2014	Fig 1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/figure/JIU079F1/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/	infants, children	0.5	14	years	
			daniel	Amani		blood	UBERON_0000178	plasmablasts (CD19+, CD27+, CD38+)	cell type frequency	up for	none	6 to 8	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Fluzone	VO_0000047					(6 to 8)d vs 0d	29	children (0.5-14yrs)				24495909	2014	Fig 1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/figure/JIU079F1/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/	infants, children	0.5	14	years	
			daniel	Amani		blood	UBERON_0000178	plasmablast; plasma cell	cell type frequency	positive	none	6 to 8	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Fluzone	VO_0000047					(27 to 33d) vs 0d	29	children (0.5-14yrs)				24495909	2014	Fig 2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/figure/JIU079F2/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/	infants, children	0.5	14	years	
			daniel	Amani		blood	UBERON_0000178	plasmablast	cell type frequency	positively correlated with 	none	6 to 8	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Fluzone	VO_0000047					VN titer to B strain at 27 to 33 days	29	children (0.5-14yrs)				24495909	2014	Fig 2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/figure/JIU079F2/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/	infants, children	0.5	14	years	
			daniel	Amani		blood	UBERON_0000178	plasma cell	cell type frequency	positively correlated with 	none	6 to 8	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Fluzone	VO_0000047					VN titer to H1N1, H3N2, B strains at 27 to 33 days	29	children (0.5-14yrs)				24495909	2014	Fig 2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/figure/JIU079F2/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/	infants, children	0.5	14	years	
			daniel: edited source	Amani		blood	UBERON_0000178	plasmablast	cell type frequency	positively correlated with 	none	6 to 8	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	FluMist	VO_0000044 					H3N2 VN titer at 27 to 33 days	29	children (0.5-14yrs)				24495909	2014	Text: Antibody-Secreting Cells Correlate With Antibody Titers on TIV Recipients					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/	infants, children	0.5	14	years	
			daniel: split row	Amani: added source		peripheral blood mononuclear cell	CL:2000001	natural killer cell	cell type frequency	up for	none	0	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					seniors vs adults		seniors (>65yrs), adults (<65 yrs)				26682988	2015	Fig 5A	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	adults, seniors			years	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	CD56dim CD16++ natural killer cells	cell type frequency	up for	none	0	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					seniors vs adults		seniors (>65yrs), adults (<65 yrs)				26682988	2015	Fig 5C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/	5A is comparisions within group against baseline			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	adults, seniors			years	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	CD56++ natural killer cells; CD56++ CD16+ Natural Killer cells	cell type frequency	up for	none	0	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					adults vs seniors		seniors (>65yrs), adults (<65 yrs)				26682988	2015	Fig 5C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	adults, seniors			years	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	natural killer cell	cell type frequency	up for	none	1	Day	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					seniors vs adults		seniors (>65yrs), adults (<65 yrs)				26682988	2015	Fig 5A	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	adults, seniors			years	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	natural killer cell	cell type frequency	up for	none	3	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					seniors vs adults		seniors (>65yrs), adults (<65 yrs)				26682988	2015	Fig 5A	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	adults, seniors			years	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	natural killer cell	cell type frequency	up for	none	7	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					seniors vs adults		seniors (>65yrs), adults (<65 yrs)				26682988	2015	Fig 5A	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	adults, seniors			years	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	natural killer cell	cell type frequency	up for	none	14	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					seniors vs adults		seniors (>65yrs), adults (<65 yrs)				26682988	2015	Fig 5A	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	adults, seniors			years	
				daniel: curated		peripheral blood mononuclear cell	CL:2000001	natural killer cell	cell type frequency	up for	none	1	Day	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					1d vs 0d		seniors (>65yrs)				26682988	2015	Fig 5A	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	seniors	65		years	
				daniel: curated		peripheral blood mononuclear cell	CL:2000001	natural killer cell	cell type frequency	up for	none	3	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					3d vs 0d		seniors (>65yrs)				26682988	2015	Fig 5A	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	seniors	65		years	
				daniel: curated		peripheral blood mononuclear cell	CL:2000001	natural killer cell	cell type frequency	up for	none	14	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					14d vs 0d		seniors (>65yrs)				26682988	2015	Fig 5A	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	seniors	65		years	
			daniel: removed comment from comparison	Amani: added source		peripheral blood mononuclear cell	CL:2000001	natural killer cell	cell type frequency	down	none	1	Day	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					1d vs 0d		adults (<65yrs)				26682988	2015	Fig 5A	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	adults		65	years	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	CD56++ NK cells; CD56++ CD16+ NK cells	cell type frequency	up for	none	7	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					7d vs 0d		adults (<65yrs)				26682988	2015	Fig 5C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	adults		65	years	
			daniel	Amani: merged rows, added source		peripheral blood mononuclear cell	CL:2000001	CD56dim CD16++ NK cells; Natural Killer cells	cell type frequency	up for	none	1	Day	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					1 vs 0d		seniors (>65yrs)				26682988	2015	Fig 5A&C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	seniors	65		years	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	CD56++ NK cells; CD56++ CD16+ NK cells	cell type frequency	down for	none	1	Day	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					1d vs 0d		seniors (>65yrs)				26682988	2015	Fig 5C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	seniors	65		years	
			daniel: separated age groups	Amani: added source		peripheral blood mononuclear cell	CL:2000001	monocytes	cell type frequency	up for	none	1	Day	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					1d vs 0d		adults (<65yrs)				26682988	2015	Fig S6B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	adults		65	years	
			daniel: separated age groups	Amani: added source		peripheral blood mononuclear cell	CL:2000001	monocytes	cell type frequency	up for	none	1	Day	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					1d vs 0d		seniors (>65yrs)				26682988	2015	Fig S6B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	seniors	65		years	
			daniel: separated age groups	Amani: added source		peripheral blood mononuclear cell	CL:2000001	monocytes	cell type frequency	down for	none	7	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					7d vs 0d		adults (<65yrs)				26682988	2015	Fig S6B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	adults		65	years	
			daniel: separated age groups, edited cohort	Amani: added source		peripheral blood mononuclear cell	CL:2000001	monocytes	cell type frequency	down for	none	7	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					7d vs 0d		seniors (>65yrs)				26682988	2015	Fig S6B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	seniors	65		years	
				daniel: curated		peripheral blood mononuclear cell	CL:2000001	monocytes	cell type frequency	up for	none	0	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					seniors vs adults		seniors (>65yrs), adults (<65 yrs)				26682988	2015	Fig S6B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	adults, seniors				
				daniel: curated		peripheral blood mononuclear cell	CL:2000001	monocytes	cell type frequency	up for	none	1	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					seniors vs adults		seniors (>65yrs), adults (<65 yrs)				26682988	2015	Fig S6B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	adults, seniors				
				daniel: curated		peripheral blood mononuclear cell	CL:2000001	monocytes	cell type frequency	up for	none	3	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					seniors vs adults		seniors (>65yrs), adults (<65 yrs)				26682988	2015	Fig S6B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	adults, seniors				
				daniel: curated		peripheral blood mononuclear cell	CL:2000001	monocytes	cell type frequency	up for	none	7	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					seniors vs adults		seniors (>65yrs), adults (<65 yrs)				26682988	2015	Fig S6B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	adults, seniors				
				daniel: curated		peripheral blood mononuclear cell	CL:2000001	monocytes	cell type frequency	up for	none	14	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					seniors vs adults		seniors (>65yrs), adults (<65 yrs)				26682988	2015	Fig S6B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	adults, seniors				
			daniel: unmerged rows, different sources	Amani: added source		peripheral blood mononuclear cell	CL:2000001	CD14+ CD16- monocytes	cell type frequency	down for	none	3	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					3d vs 0d		adults (<65yrs)				26682988	2015	Fig S6C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	adults		65	years	
			daniel: unmerged rows, different sources	Amani: merged rows, added source		peripheral blood mononuclear cell	CL:2000001	CD14+ CD16+ monocytes	cell type frequency	up for	none	1	Day	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					1d vs 0d		adults (<65yrs)				26682988	2015	Fig S6C	 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	adults		65	years	
			daniel: unmerged rows, different sources	Amani: merged rows, added source		peripheral blood mononuclear cell	CL:2000001	CD56++ CD16+ natural killer (NK) cells	cell type frequency	up for	none	1	Day	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					1d vs 0d		adults (<65yrs)				26682988	2015	Fig 5C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	adults		65	years	
			daniel	Amani: edited response, added source		peripheral blood mononuclear cell	CL:2000001	CD14dim CD16++ monocytes	cell type frequency	up for	none	3	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					3d vs 0d		adults (<65yrs)				26682988	2015	Fig S6C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	adults		65	years	
			daniel: unmerged rows, different sources	Amani: merged rows, added source		peripheral blood mononuclear cell	CL:2000001	CD14+ CD16- monocytes	cell type frequency	up for	none	14	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					14d vs 0d		seniors (>65yrs)				26682988	2015	Fig S6B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	seniors	65		years	
			daniel	Amani: added source		peripheral blood mononuclear cell	CL:2000001	CD14+ CD16+ monocytes	cell type frequency	down for	none	14	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2010	Inactivated influenza vaccine	VO_0001176					14d vs 0d		seniors (>65yrs)				26682988	2015	Fig S6B	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/#S15title				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859820/	seniors	65		years	
			daniel: M cluster N257 will need downstream cell type checking, removed subgroup (included in comparison); bhav: M cluster N257 is not a cell type (it's a plasma metabolite cluster), so it has been removed from the signature	Amani: added source		peripheral blood mononuclear cell	CL:2000001	activated CD4+ T cells	cell type frequency	down for	none	7	Days	time of vaccination (first dose)	Human alphaherpesvirus 3			Zostavax	VO_0000124					high vs low inositol phosphate metabolism		adults (25-40/60-79)				28502771	2017	Fig 7F	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711477/figure/F7/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711477/	adults, seniors	25	79	years	
			daniel: removed subgroup ( included in comparison)	Amani: added source		peripheral blood mononuclear cell	CL:2000001	neutrophil	cell type frequency	down for	none	3	Days	time of vaccination (first dose)	Human alphaherpesvirus 3			Zostavax	VO_0000124					high vs low inositol phosphate metabolism		adults (25-40/60-79)				28502771	2017	Fig 7F	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711477/figure/F7/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711477/	adults, seniors	25	79	years	
			daniel	Amani: added sources		peripheral blood mononuclear cell	CL:2000001	VZV antigen-reactive CD4 T cells	cell type frequency	up for	none	8	Days	time of vaccination (first dose)	Human alphaherpesvirus 3			Zostavax	VO_0000124					8d vs 0d		seniors (52-75)				27030598	2016	text right before Fig 3, Fig 3a	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4878824/figure/F3/	Influence of vaccination on the CD4 T cell receptor repertoire of VZV-reactive cells			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4878824/	adults, seniors	52	75	years	
			daniel	Amani: added sources		peripheral blood mononuclear cell	CL:2000001	VZV antigen-reactive CD4 T cells	cell type frequency	up for	none	14	Days	time of vaccination (first dose)	Human alphaherpesvirus 3			Zostavax	VO_0000124					14d vs 0d		seniors (52-75)				27030598	2016	text right before Fig 3, Fig 3a	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4878824/figure/F3/	Influence of vaccination on the CD4 T cell receptor repertoire of VZV-reactive cells			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4878824/	adults, seniors	52	75	years	
			daniel	Amani: added sources		peripheral blood mononuclear cell	CL:2000001	VZV antigen-reactive CD4 T cells	cell type frequency	up for	none	28	Days	time of vaccination (first dose)	Human alphaherpesvirus 3			Zostavax	VO_0000124					28d vs 0d		seniors (52-75)				27030598	2016	text right before Fig 3, Fig 3a	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4878824/figure/F3/	Influence of vaccination on the CD4 T cell receptor repertoire of VZV-reactive cells			https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4878824/	adults, seniors	52	75	years	
			daniel	Amani: added source, edited comparison & subgroup		blood	UBERON_0000178	white blood cell	cell type frequency	up for	males in group 2 (4mo: HBV & OPV. 9mo: MV+DTP (i.m). 11mo: outstanding vaccines)	28	Days	time of vaccination (first dose)	Measles virus strain Edmonston-Zagreb; Corynebacterium diphtheriae; Clostridium tetani; Human poliovirus 1; Human poliovirus 2; Human poliovirus 3			Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine	VO_0000654; VO_0000738					group 2 (4mo: HBV and OPV. 9mo: MV+DTP (i.m). 11mo: outstanding vaccines) vs groups 1 (4mo: 3rd dose of DTP, HBV, OPV. 9mo: 1 i.m dose of MV Edmonstron Zagreb strain. 11mo: outstanding vaccines) and 3 (4mo: HBV and OPV. 9mo: DTP. 11mo: outstanding vaccines) 		infants (4mo)				27436422	2016	Table 1	https://academic.oup.com/view-large/78928196				https://academic.oup.com/cid/article/63/9/1213/2576500	infants	4	4	months	
			daniel	Amani: added source, edited comparison & subgroup		blood	UBERON_0000178	lymphocyte	cell type frequency	down for	males in group 2 (4mo: HBV & OPV. 9mo: MV+DTP (i.m). 11mo: outstanding vaccines)	28	Days	time of vaccination (first dose)	Measles virus strain Edmonston-Zagreb; Corynebacterium diphtheriae; Clostridium tetani; Human poliovirus 1; Human poliovirus 2; Human poliovirus 3			Measles virus vaccine; Diphtheria-Tetanus-Pertussis vaccine	VO_0000654; VO_0000738					group 2 (4mo: HBV and OPV. 9mo: MV+DTP (i.m). 11mo: outstanding vaccines) vs groups 1 (4mo: 3rd dose of DTP, HBV, OPV. 9mo: 1 i.m dose of MV Edmonstron Zagreb strain. 11mo: outstanding vaccines) and 3 (4mo: HBV and OPV. 9mo: DTP. 11mo: outstanding vaccines) 		infants (4mo)				27436422	2016	Table 1	https://academic.oup.com/view-large/78928196				https://academic.oup.com/cid/article/63/9/1213/2576500	infants	4	4	months	
			daniel: edited sources	Amani: added sources		peripheral blood mononuclear cell	CL:2000001	plasmacytoid dendritic cell; NK Cells (CD14-/CD19-/CD3-/NK/CD107A+/K562); NK Cells (CD14-/CD19-/CD3-/NK/IFNg+/K562); NK Cells (CD14-/CD19-/CD3-/NK/TNFa+/K562)	cell type frequency	up for	none	7	Days	time of vaccination (first dose)	Yellow fever virus 17D			YF-17D	VO_0003134					7d vs 0d		adults (25-42)				28687661	2017	Fig 4g-i	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F4/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/	adults	25	42	years	
			daniel: split into two rows based on figure source	Amani: added source		peripheral blood mononuclear cell	CL:2000001	NK cells (CD14-/CD20-/CD3-/NK); NK cells (CD14-/CD20-/CD3-/NK/NKG2A+); NK cells (CD14-/CD20-/CD3-/NK/NKP46+)	cell type frequency	down for	none	7	Days	time of vaccination (first dose)	Yellow fever virus 17D			YF-17D	VO_0003134					7d vs 0d		adults (25-42)				28687661	2017	Fig 4d-f	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F4/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/	adults	25	42	years	
			daniel: split into two rows based on figure source. edited response agent (CD3+ was marked B cell instead of T cell). edited source	Amani: added source		peripheral blood mononuclear cell	CL:2000001	B cells CD3-/CD19+CD20+/IgD-IgM-/CD27+; T cells CD3+/CD4+/CD28+; T cells CD3+/CD4+/Ki67+; T cells CD3+/CD8+/CD28+; T cells CD3+/CD8+/Ki67+	cell type frequency	down for	none	7	Days	time of vaccination (first dose)	Yellow fever virus 17D			YF-17D	VO_0003134					7d vs 0d		adults (25-42)				28687661	2017	Fig 5d-h	 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/	adults	25	42	years	
			daniel: split into two rows based on figure source	Amani: added sources		peripheral blood mononuclear cell	CL:2000001	Monocytes (CD14+); NK cells (CD14-/CD20-/CD3-/NK/NKP46+)	cell type frequency	down for	none	14	Days	time of vaccination (first dose)	Yellow fever virus 17D			YF-17D	VO_0003134					14d vs 0d		adults (25-42)				28687661	2017	Fig 4a, Fig 4f, 	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F4/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/	adults	25	42	years	
			daniel: split into two rows based on figure source	Amani: added sources		peripheral blood mononuclear cell	CL:2000001	T cells CD3+/CD4+/Ki67+; T cells CD3+/CD8+/Ki67+	cell type frequency	down for	none	14	Days	time of vaccination (first dose)	Yellow fever virus 17D			YF-17D	VO_0003134					14d vs 0d		adults (25-42)				28687661	2017	Fig 5f, Fig 5h	 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/	adults	25	42	years	
			daniel	Amani: added sources		peripheral blood mononuclear cell	CL:2000001	plasmacytoid dendritic cell; B cells CD3-/CD19+CD20+; B cells CD3-/CD19+CD20+/IgD-IgM+/CD27+; T cells Cd14-/CD3+/CD4+/IL2+/ENV	cell type frequency	up for	none	28	Days	time of vaccination (first dose)	Yellow fever virus 17D			YF-17D	VO_0003134					28d vs 0d		adults (25-42)				28687661	2017	text (Vaccination with YF-17D induces...), Fig 4C, Fig 5A-B, Fig 5J	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/	adults	25	42	years	
			daniel: split row on source	Amani: added sources		peripheral blood mononuclear cell	CL:2000001	NK cells (CD14-/CD20-/CD3-/NK); NK cells (CD14-/CD20-/CD3-/NK/NKG2A+); NK cells (CD14-/CD20-/CD3-/NK/NKP46+)	cell type frequency	down for	none	28	Days	time of vaccination (first dose)	Yellow fever virus 17D			YF-17D	VO_0003134					28d vs 0d		adults (25-42)				28687661	2017	Fig 4D-F	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F4/ 				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/	adults	25	42	years	
			daniel: split row on source	Amani: added sources		peripheral blood mononuclear cell	CL:2000001	T cells CD3+/CD4+/CD28+; T cells CD3+/CD4+/Ki67+; T cells CD3+/CD8+/Ki67+	cell type frequency	down for	none	28	Days	time of vaccination (first dose)	Yellow fever virus 17D			YF-17D	VO_0003134					28d vs 0d		adults (25-42)				28687661	2017	 Fig 5E-F, Fig 5H	 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/figure/F5/				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681914/	adults	25	42	years	
