	Curator	Spot-check	curation_date	cohort	age_min	age_max	age_units	number_subjects	tissue_type	tissue_type_term_id	method	response_component	is_model	response_behavior_type	response_behavior	comparison	baseline_time_event	time_point	time_point_units	exposure_material	exposure_material_id	exposure_process	disease_name	disease_stage	publication_reference_id	publication_date	publication_reference_url	signature_source	signature_source_url	comments	curator_comments
	Amani 	Simranpreet	(2021-02-16)	Hong Kong, China	18	80	years		plasmacytoid dendritic cells (pDCs)		ex-vivo stimulation of PBMCs; intracellular staining assay; flow cytometry	pS6 (mTOR) 		protein/cytokine levels	down	COVID-19 patients without IFN-B1 vs healthy 	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S4b	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care."	
	Amani 	Simranpreet	(2021-02-16)	Hong Kong, China	18	80	years		plasmacytoid dendritic cells (pDCs)		ex-vivo stimulation of PBMCs; intracellular staining assay; flow cytometry	pS6 (mTOR) 		protein/cytokine levels	down	COVID-19 patients with corticosteriod vs healthy 	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S4b	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care."	
	Amani 	Simranpreet	(2021-02-16)	Hong Kong, China	18	80	years		plasmacytoid dendritic cells (pDCs)		ex-vivo stimulation of PBMCs; intracellular staining assay; flow cytometry	pS6 (mTOR) 		protein/cytokine levels	down	COVID-19 patients without corticosteriod vs healthy 	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S4b	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care."	
	Amani 	Simranpreet	(2021-02-16)	Hong Kong, China	18	80	years		plasmacytoid dendritic cells (pDCs)		ex-vivo stimulation of PBMCs; intracellular staining assay; flow cytometry	pS6 (mTOR) 		protein/cytokine levels	down	COVID-19 patients with antiviral treatment vs healthy 	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S4b.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care."	
	Amani 	Simranpreet	(2021-02-16)	Hong Kong, China	18	80	years		plasmacytoid dendritic cells (pDCs)		ex-vivo stimulation of PBMCs; intracellular staining assay; flow cytometry	pS6 (mTOR) 		protein/cytokine levels	down	COVID-19 patients without antiviral treatment vs healthy	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S4b	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care."	
	Amani 	Simranpreet	(2021-02-16)	Hong Kong, China	18	80	years		plasmacytoid dendritic cells (pDCs)		ex-vivo stimulation of PBMCs; intracellular staining assay; flow cytometry	pS6 (mTOR) 		protein/cytokine levels	up	COVID-19 patients without antiviral treamtnet vs COVID-19 patients with antiviral treatment	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S4b	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care."	
	Amani 	Simranpreet	(2021-02-16)	Hong Kong, China	18	80	years		myeloid dendritic cells (mDCs)		ex-vivo stimulation of PBMCs; intracellular staining assay; flow cytometry	IKBalpha		protein/cytokine levels	down	COVID-19 patients with antiviral treatment vs healthy	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S4c.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care."	
	Amani 	Simranpreet	(2021-02-16)	Hong Kong, China	18	80	years		myeloid dendritic cells (mDCs)		ex-vivo stimulation of PBMCs; intracellular staining assay; flow cytometry	IKBalpha		protein/cytokine levels	down	COVID-19 patients without antiviral treatment vs healthy	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S4c.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care."	
	Amani 	Simranpreet	(2021-02-16)	Hong Kong, China	18	80	years		myeloid dendritic cells (mDCs)		ex-vivo stimulation of PBMCs; intracellular staining assay; flow cytometry	IKBalpha		protein/cytokine levels	down	COVID-19 patients treated with corticosteriod vs healthy 	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S4c.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care."	
	Amani 	Simranpreet	(2021-02-16)	Hong Kong, China	18	80	years		myeloid dendritic cells (mDCs)		ex-vivo stimulation of PBMCs; intracellular staining assay; flow cytometry	IKBalpha		protein/cytokine levels	down	COVID-19 patients without corticosteriod vs healthy 	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S4c.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care."	
	Amani 	Simranpreet	(2021-02-16)	Hong Kong, China	18	80	years		myeloid dendritic cells (mDCs)		ex-vivo stimulation of PBMCs; intracellular staining assay; flow cytometry	IKBalpha		protein/cytokine levels	down	COVID-19 patients with IFN-B1 treatment vs healthy	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S4c.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care."	
	Amani 	Simranpreet	(2021-02-16)	Hong Kong, China	18	80	years		myeloid dendritic cells (mDCs)		ex-vivo stimulation of PBMCs; intracellular staining assay; flow cytometry	IKBalpha		protein/cytokine levels	down	COVID-19 patients without IFN-B1 vs healthy	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S4c.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care."	
	Amani 		(2021-02-16)	Atlanta, Georgia, USA	23	94	years	31	CD3- CD20- CD56- HLA-DR+ CD14+ CD16-/+ monocytes		flow cytometry of peripheral blood leukocytes ex vivo stimulated with bacterial cocktail (Pam3CSK14, LPS, & Flagellin)	IL-1B CD14+ monocytes; TNF-alpha CD14+ monocytes; IL-6 CD14+ monocytes; IL-6+ TNF+ CD14+ monocytes		cell type frequency	down	COVID-19 infected patients in response to bacterial cocktail (Pam3CSK14, LPS, & Flagellin) vs healthy in response to bacterial cocktail (Pam3CSK4, LPS, & Flagellin)	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S5.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-Shows % of CD14+ monocytes producing cytokines. healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". 	
	Amani 		(2021-02-16)	Atlanta, Georgia, USA	23	94	years	31	CD3- CD20- CD56- HLA-DR+ CD14+ CD16-/+ monocytes		flow cytometry of peripheral blood leukocytes ex vivo stimulated with viral cocktail (polyIC + R848)	IL-1B CD14+ monocytes; TNF-alpha CD14+ monocytes; IL-6 CD14+ monocytes; IL-6+ TNF+ CD14+ monocytes; MCP-1 CD14+ monocytes		cell type frequency	down	COVID-19 infected patients in response to viral cocktail (polyIC + R848) vs healthy in response to viral cocktail (polyIC + R848).	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S5.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-Shows % of CD14+ monocytes producing cytokines. healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". 	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	23	94	years	30	plasma		Olink multiplex inflammation panel; NPX	HGF		protein/cytokine levels	up	ICU COVID-19 patients vs severe COVID-19 patients  	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S6b.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care." 	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	23	94	years	16	plasma		Olink multiplex inflammation panel; NPX	HGF, 4E-BP1		protein/cytokine levels	up	ICU COVID-19 patients vs moderate COVID-19 patients  	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S6b.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care." 	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	23	94	years	22	plasma		Olink multiplex inflammation panel; NPX	HGF, 4E-BP1, CXCL10, CXCL5		protein/cytokine levels	up	moderate COVID-19 patients vs healthy 	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S6b.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia."	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	23	94	years	37	plasma		ELISA	EN-RAGE, OSM, TNFSF14		protein/cytokine levels	up	ICU COVID-19 patients vs severe COVID-19 patients  	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S7a.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care." 	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	23	94	years	37	plasma		ELISA	EN-RAGE, OSM, TNFSF14		protein/cytokine levels	up	ICU COVID-19 patients vs moderate COVID-19 patients  	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S7a.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care."	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	23	94	years	37	plasma		ELISA	EN-RAGE, OSM		protein/cytokine levels	up	severe COVID-19 patients vs moderate COVID-19 patients	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S7a.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen."	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	23	94	years	55	plasma		ELISA	OSM		protein/cytokine levels	up	moderate COVID-19 patients vs healthy 	time of clinical onset			SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S7a.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia."	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	47	75	years	7	Peripheral Blood Mononuclear Cells (PBMCs)		CITE-seq	CD4; CD28		antibody response 	up	Clusters 0, 10-11, 16, 18, 21, 23 from COVID-19 patients	time of clinical onset	2 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S11.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1		
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	47	75	years	7	Peripheral Blood Mononuclear Cells (PBMCs)		CITE-seq	CD4; CD28		antibody response 	down	Clusters 1-9, 12-15, 17, 19-20, 22, 24 from COVID-19 patients	time of clinical onset	2 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S11.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care. Patients with RSV and influenza were defined as acute hospitalized patients with confirmed diagnoses by BioFire FilmArray of nasopharyngeal and oropharyngeal swabs. RSV and Flu patients were classified as moderate if not requiring oxygen, severe if requiring oxygen, and critical if requiring ICU level care." from Supplemental	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	47	75	years	7	Peripheral Blood Mononuclear Cells (PBMCs)		CITE-seq	CD19; CD20		antibody response 	up	Clusters 7, 9, 21 from COVID-19 patients	time of clinical onset	2 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S11.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care. Patients with RSV and influenza were defined as acute hospitalized patients with confirmed diagnoses by BioFire FilmArray of nasopharyngeal and oropharyngeal swabs. RSV and Flu patients were classified as moderate if not requiring oxygen, severe if requiring oxygen, and critical if requiring ICU level care." from Supplemental	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	47	75	years	7	Peripheral Blood Mononuclear Cells (PBMCs)		CITE-seq	CD19; CD20		antibody response 	down	Clusters 0-6, 10-20, 22-24 from COVID-19 patients	time of clinical onset	2 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S11.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care. Patients with RSV and influenza were defined as acute hospitalized patients with confirmed diagnoses by BioFire FilmArray of nasopharyngeal and oropharyngeal swabs. RSV and Flu patients were classified as moderate if not requiring oxygen, severe if requiring oxygen, and critical if requiring ICU level care." from Supplemental	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	47	75	years	7	Peripheral Blood Mononuclear Cells (PBMCs)		CITE-seq	CD8; CD56		antibody response 	up	Clusters 2, 7, 9, 16 from COVID-19 patients	time of clinical onset	2 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S11.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care. Patients with RSV and influenza were defined as acute hospitalized patients with confirmed diagnoses by BioFire FilmArray of nasopharyngeal and oropharyngeal swabs. RSV and Flu patients were classified as moderate if not requiring oxygen, severe if requiring oxygen, and critical if requiring ICU level care." from Supplemental	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	47	75	years	7	Peripheral Blood Mononuclear Cells (PBMCs)		CITE-seq	CD8; CD56		antibody response 	down	Clusters 0-1, 3-6, 10-15, 17-24 from COVID-19 patients	time of clinical onset	2 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S11.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care. Patients with RSV and influenza were defined as acute hospitalized patients with confirmed diagnoses by BioFire FilmArray of nasopharyngeal and oropharyngeal swabs. RSV and Flu patients were classified as moderate if not requiring oxygen, severe if requiring oxygen, and critical if requiring ICU level care." from Supplemental	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	47	75	years	7	Peripheral Blood Mononuclear Cells (PBMCs)		CITE-seq	CD69; CD95		antibody response 	up	Clusters 3, 6, 11, 14, 16 from COVID-19 patients	time of clinical onset	2 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S11.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care. Patients with RSV and influenza were defined as acute hospitalized patients with confirmed diagnoses by BioFire FilmArray of nasopharyngeal and oropharyngeal swabs. RSV and Flu patients were classified as moderate if not requiring oxygen, severe if requiring oxygen, and critical if requiring ICU level care." from Supplemental	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	47	75	years	7	Peripheral Blood Mononuclear Cells (PBMCs)		CITE-seq	CD69; CD95		antibody response 	down	Clusters 0-2, 4-5, 7-10, 12-13, 15, 17-24 from COVID-19 patients	time of clinical onset	2 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S11.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care. Patients with RSV and influenza were defined as acute hospitalized patients with confirmed diagnoses by BioFire FilmArray of nasopharyngeal and oropharyngeal swabs. RSV and Flu patients were classified as moderate if not requiring oxygen, severe if requiring oxygen, and critical if requiring ICU level care." from Supplemental	
