""	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"method"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"exposure_process"	"disease_name"	"disease_stage"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"comments"	"response_component_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_comp_orig_cnt"	"response_comp_cnt"	"row_key"
""	"cd8-positive, alpha-beta cytotoxic t cell; plasmacytoid dendritic cell, human"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"155"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD8 cells; plasmacytoid dendritic cells"	""	"cell-type frequency"	"down"	"severe COVID-19 patients vs moderate COVID-19 patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2A"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as concentration of millions of cells per mL of blood."	"CL_0000794; CL_0001058"	""	""	"cd8-positive, alpha-beta cytotoxic t cell; plasmacytoid dendritic cell, human"	"2"	"2"	"32717743_14_420"
""	"intermediate monocyte; non-classical monocyte; neutrophil (CD16++); neutrophil (CD16+)"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"204"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"intermediate monocytes; non-conventional monocytes; CD16high neutrophils; CD16int neutrophils"	""	"cell-type frequency"	"up"	"moderate and severe COVID-19 patients vs healthy patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2A"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as concentration of millions of cells per mL of blood."	"CL_0002393; CL_0000875; CL_0000775"	"; (CD16++); (CD16+)"	"; PR:000001483"	"intermediate monocyte; non-classical monocyte; neutrophil (CD16++); neutrophil (CD16+)"	"4"	"4"	"32717743_15_421"
""	"cd8-positive, alpha-beta cytotoxic t cell; cd4-positive, alpha-beta memory t cell; plasmacytoid dendritic cell, human; conventional dendritic cell (type 1); conventional dendritic cell (type 2); mature nk t cell"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"204"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD8 cells; CD4 cells; plasmacytoid dendritic cells; type 1 dendritic cells; type 2 dendritic cells; natural killer T cells"	""	"cell-type frequency"	"down"	"moderate and severe COVID-19 patients vs healthy patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2A"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as concentration of millions of cells per mL of blood."	"CL_0000794; CL_0000897; CL_0001058; CL_0000990; CL_0000814"	"; (type 1); (type 2)"	""	"cd8-positive, alpha-beta cytotoxic t cell; cd4-positive, alpha-beta memory t cell; plasmacytoid dendritic cell, human; conventional dendritic cell (type 1); conventional dendritic cell (type 2); mature nk t cell"	"6"	"6"	"32717743_16_422"
""	"natural killer cell"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"163"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"natural killer cells"	""	"cell-type frequency"	"down"	"moderate COVID-19 patients vs healthy patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2A"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as concentration of millions of cells per mL of blood."	"CL_0000623"	""	""	"natural killer cell"	"1"	"1"	"32717743_17_423"
""	"naive thymus-derived cd4-positive, alpha-beta t cell"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"155"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"naive CD4+ T cells"	""	"cell-type frequency"	"up"	"severe COVID-19 patients vs moderate COVID-19 patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2B"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as percentage of parent population (CD4+ T cell or CD8+ T cell)."	"CL_0000895"	""	""	"naive thymus-derived cd4-positive, alpha-beta t cell"	"1"	"1"	"32717743_18_424"
""	"central memory cd4-positive, alpha-beta t cell; t follicular helper cell (CD4+)"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"155"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"Central memory CD4+ T cells; CD4+ Tfh cells"	""	"cell-type frequency"	"down"	"severe COVID-19 patients vs moderate COVID-19 patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2B"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as percentage of parent population (CD4+ T cell or CD8+ T cell)."	"CL_0000904; CL_0002038"	"; (CD4+)"	"; PR:000001004"	"central memory cd4-positive, alpha-beta t cell; t follicular helper cell (CD4+)"	"2"	"2"	"32717743_19_425"
""	"central memory CD8-positive, alpha-beta T cell; effector memory cd8-positive, alpha-beta t cell"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"155"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD8+ central memory T cells; effector memory CD8+ T cells"	""	"cell-type frequency"	"down"	"severe COVID-19 patients vs moderate COVID-19 patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2B"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as percentage of parent population (CD4+ T cell or CD8+ T cell)."	"CL_0000907; CL_0000913"	""	""	"central memory CD8-positive, alpha-beta T cell; effector memory cd8-positive, alpha-beta t cell"	"2"	"2"	"32717743_20_426"
""	"effector cd4-positive, alpha-beta t cell (regulatory); t follicular helper cell (CD4+)"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"163"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD4+ effector Treg cells; CD4+ Tfh cells"	""	"cell-type frequency"	"up"	"moderate COVID-19 patients vs healthy patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2B"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as percentage of parent population (CD4+ T cell or CD8+ T cell)."	"CL_0001044; CL_0002038"	"(regulatory); (CD4+)"	"; PR:000001004"	"effector cd4-positive, alpha-beta t cell (regulatory); t follicular helper cell (CD4+)"	"3"	"2"	"32717743_21_427"
""	"naive thymus-derived CD8-positive, alpha-beta T cell; effector memory cd8-positive, alpha-beta t cell"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"163"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD8+ naive T cells; effector memory CD8+ T cells"	""	"cell-type frequency"	"down"	"moderate COVID-19 patients vs healthy patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2B"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as percentage of parent population (CD4+ T cell or CD8+ T cell)."	"CL_0000900; CL_0000913"	""	""	"naive thymus-derived CD8-positive, alpha-beta T cell; effector memory cd8-positive, alpha-beta t cell"	"2"	"2"	"32717743_22_428"
""	"effector cd4-positive, alpha-beta t cell (regulatory)"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"90"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD4+ effector Treg cells"	""	"cell-type frequency"	"up"	"severe COVID-19 patients vs healthy patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2B"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as percentage of parent population (CD4+ T cell or CD8+ T cell)."	"CL_0001044"	"(regulatory)"	""	"effector cd4-positive, alpha-beta t cell (regulatory)"	"1"	"1"	"32717743_23_429"
""	"central memory CD8-positive, alpha-beta T cell; effector memory cd8-positive, alpha-beta t cell"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"90"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD8+ central memory T cells; effector memory CD8+ T cells"	""	"cell-type frequency"	"down"	"severe COVID-19 patients vs healthy patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2B"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as percentage of parent population (CD4+ T cell or CD8+ T cell)."	"CL_0000907; CL_0000913"	""	""	"central memory CD8-positive, alpha-beta T cell; effector memory cd8-positive, alpha-beta t cell"	"2"	"2"	"32717743_24_430"
""	"activated cd4-positive, alpha-beta t cell"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"155"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD4+ TCR cells"	""	"cell-type frequency"	"up"	"severe COVID-19 patients vs moderate COVID-19 patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2C"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as percentage of parent population (CD4+ T cell or CD8+ T cell)."	"CL_0000896"	""	""	"activated cd4-positive, alpha-beta t cell"	"1"	"1"	"32717743_26_432"
""	"CD4-positive, alpha-beta T cell (IFNG+)"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"155"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"interferon-gamma+ CD4 T cells"	""	"cell-type frequency"	"down"	"severe COVID-19 patients vs moderate COVID-19 patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2C"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as percentage of parent population (CD4+ T cell or CD8+ T cell)."	"CL:0000624"	"(IFNG+)"	"PR:000000017"	"CD4-positive, alpha-beta T cell (IFNG+)"	"1"	"1"	"32717743_27_433"
""	"activated cd4-positive, alpha-beta t cell; cd4-positive, alpha-beta memory t cell (IL17+)"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"204"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD4+ TCR cells; CD4+ IL-17 cells"	""	"cell-type frequency"	"up"	"moderate and severe COVID-19 patients vs healthy patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2C"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as percentage of parent population (CD4+ T cell or CD8+ T cell)."	"CL_0000896; CL_0000897"	"; (IL17+)"	"; PR:000001138"	"activated cd4-positive, alpha-beta t cell; cd4-positive, alpha-beta memory t cell (IL17+)"	"2"	"2"	"32717743_28_435"
""	"cd8-positive, alpha-beta cytotoxic t cell; activated cd8-positive, alpha-beta t cell"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"204"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD8+ granzyme B cells; CD8+ TCR cells"	""	"cell-type frequency"	"up"	"moderate and severe COVID-19 patients vs healthy patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2C"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as percentage of parent population (CD4+ T cell or CD8+ T cell)."	"CL_0000794; CL_0000906"	""	""	"cd8-positive, alpha-beta cytotoxic t cell; activated cd8-positive, alpha-beta t cell"	"2"	"2"	"32717743_29_436"
""	"CD4-positive, alpha-beta T cell (IFNG+)"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"90"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"interferon-gamma+ CD4 T cells"	""	"cell-type frequency"	"down"	"severe COVID-19 patients vs healthy patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2C"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as concentration of millions of cells per mL of blood."	"CL:0000624"	"(IFNG+)"	"PR:000000017"	"CD4-positive, alpha-beta T cell (IFNG+)"	"1"	"1"	"32717743_30_439"
""	"naive thymus-derived cd4-positive, alpha-beta t cell (CD45RA+,CCR7+); naive thymus-derived cd8-positive, alpha-beta t cell (CD45RA+,CCR7+)"	""	"males in Paris, France"	"21.5"	"80"	"years"	"6"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"naive CD4+ CD45RA+ CCR7+ T cells; naive CD8+ CD45RA+ CCR7+ T cells"	""	"cell-type frequency"	"down"	"COVID-19 patients vs healthy controls"	"time post-symptom onset"	"14"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2A ; 1st Paragraph under \"Kinetics...\" section"	"\"naïve CD4+ and CD8+ (CD45RA+CCR7+) T cells was low on day 14 (24.2% and 6%, respectively) relative to that of five healthy donors (HD) (Median [IQR] (42.9% [35.3-49.8] and 29.5% [13.4-45], respectively) and remained so to the end of the follow-up\""	"CL_0000895; CL_0000900"	"(CD45RA+,CCR7+)"	"PR:000001015,PR:000001203"	"naive thymus-derived cd4-positive, alpha-beta t cell (CD45RA+,CCR7+); naive thymus-derived cd8-positive, alpha-beta t cell (CD45RA+,CCR7+)"	"2"	"2"	"32829467_1_453"
""	"naive thymus-derived cd4-positive, alpha-beta t cell (CD45RA+,CCR7+); naive thymus-derived cd8-positive, alpha-beta t cell (CD45RA+,CCR7+)"	""	"males in Paris, France"	"21.5"	"80"	"years"	"6"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"naive CD4+ CD45RA+ CCR7+ T cells; naive CD8+ CD45RA+ CCR7+ T cells"	""	"cell-type frequency"	"down"	"COVID-19 patients vs healthy controls"	"time post-symptom onset"	"14 to 24"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2A ; 1st Paragraph under \"Kinetics...\" section"	"\"naïve CD4+ and CD8+ (CD45RA+CCR7+) T cells was low on day 14...[relative to healthy donors] and remained so to the end of the follow-up\""	"CL_0000895; CL_0000900"	"(CD45RA+,CCR7+)"	"PR:000001015,PR:000001203"	"naive thymus-derived cd4-positive, alpha-beta t cell (CD45RA+,CCR7+); naive thymus-derived cd8-positive, alpha-beta t cell (CD45RA+,CCR7+)"	"2"	"2"	"32829467_2_454"
""	"effector memory CD4-positive, alpha-beta T cell (CCR7-,CD45RA-); effector memory cd8-positive, alpha-beta t cell (CCR7-,CD45RA-)"	""	"males in Paris, France"	"21.5"	"80"	"years"	"6"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD4+ CCR7-CD45RA- effector memory T cells; CD8+ CCR7-CD45RA- effector memory T cells"	""	"cell-type frequency"	"up"	"COVID-19 patients vs healthy controls"	"time post-symptom onset"	"14"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2A; 1st Paragraph under \"Kinetics...\" section"	"\"CD4+ and CD8+ (CCR7-CD45RA-) effector memory T cells was high on day 14 (51.7 and 28.6%, respectively) relative to that of HD (28.2% [21.8-29.4] and 23.5% for CD4+ and CD8+ T cells, respectively) and peaked at day 24 (67.4% and 46.2%, respectively)\""	"CL_0000905; CL_0000913"	"(CCR7-,CD45RA-)"	"PR:000001203,PR:000001015"	"effector memory CD4-positive, alpha-beta T cell (CCR7-,CD45RA-); effector memory cd8-positive, alpha-beta t cell (CCR7-,CD45RA-)"	"2"	"2"	"32829467_3_455"
""	"effector memory CD4-positive, alpha-beta T cell (CCR7-,CD45RA-); effector memory cd8-positive, alpha-beta t cell (CCR7-,CD45RA-)"	""	"males in Paris, France"	"21.5"	"80"	"years"	"6"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD4+ CCR7-CD45RA- effector memory T cells; CD8+ CCR7-CD45RA- effector memory T cells"	""	"cell-type frequency"	"up"	"COVID-19 patients vs healthy controls"	"time post-symptom onset"	"24"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2A; 1st Paragraph under \"Kinetics...\" section"	"\"CD4+ and CD8+ (CCR7-CD45RA-) effector memory T cells...peaked at day 24 (67.4% and 46.2%, respectively) [relative to healthy donors]\""	"CL_0000905; CL_0000913"	"(CCR7-,CD45RA-)"	"PR:000001203,PR:000001015"	"effector memory CD4-positive, alpha-beta T cell (CCR7-,CD45RA-); effector memory cd8-positive, alpha-beta t cell (CCR7-,CD45RA-)"	"2"	"2"	"32829467_4_456"
""	"activated cd8-positive, alpha-beta t cell"	""	"males in Paris, France"	"21.5"	"80"	"years"	"6"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"activated CD8+ T cells"	""	"cell-type frequency"	"up"	"COVID-19 patients vs healthy controls"	"time post-symptom onset"	"20"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2b; 2nd Paragraph under \"Kinetics...\" section"	"\"Activated CD8+ T cells peaked on day 20 (27.5% and 0.6% [0.4-0.8], for the COVID-19 patient and HD [Healthy Donors], respectively)\""	"CL_0000906"	""	""	"activated cd8-positive, alpha-beta t cell"	"1"	"1"	"32829467_5_457"
""	"exhausted t cell (CD4+,PD1+,CD57+); exhausted t cell (CD8+,PD1+,CD57+)"	""	"males in Paris, France"	"21.5"	"80"	"years"	"6"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"exhausted PD1+ CD57+ CD4+ T cells; exhausted PD1+ CD57+ CD8+ T cells"	""	"cell-type frequency"	"up"	"COVID-19 patients vs healthy controls"	"time post-symptom onset"	"14"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2c; 2nd Paragraph under \"Kinetics...\" section"	"\"frequency of exhausted and senescent CD4+ and CD8+ T cells (PD-1+CD57+) increased in the COVID-19 patient from day 14 (7.43 and 56.1%, respectively)\""	"CL_0011025"	"(CD4+,PD1+,CD57+); (CD8+,PD1+,CD57+)"	"PR:000001004,PR:000001919,PR:000001440; PR:000001084,PR:000001919,PR:000001440"	"exhausted t cell (CD4+,PD1+,CD57+); exhausted t cell (CD8+,PD1+,CD57+)"	"2"	"2"	"32829467_6_458"
""	"exhausted t cell (CD4+,PD1+,CD57+)"	""	"males in Paris, France"	"21.5"	"80"	"years"	"6"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"exhausted PD1+ CD57+ CD4+ T cells"	""	"cell-type frequency"	"up"	"COVID-19 patients vs healthy controls"	"time post-symptom onset"	"24"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2c; 2nd Paragraph under \"Kinetics...\" section"	"\"frequency of exhausted and senescent CD4+ and CD8+ T cells (PD-1+CD57+) increased in the COVID-19 patient... peaking on day 24 for CD4+ T cells (25.3%) and...were dramatically higher than in the HD (1.6% [0.6-6.3] and 18.4%, [14-36], respectively)\""	"CL_0011025"	"(CD4+,PD1+,CD57+)"	"PR:000001004,PR:000001919,PR:000001440"	"exhausted t cell (CD4+,PD1+,CD57+)"	"1"	"1"	"32829467_7_459"
""	"exhausted t cell (CD8+,PD1+,CD57+)"	""	"males in Paris, France"	"21.5"	"80"	"years"	"6"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"exhausted PD1+ CD57+ CD8+ T cells"	""	"cell-type frequency"	"up"	"COVID-19 patients vs healthy controls"	"time post-symptom onset"	"22"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2c; 2nd Paragraph under \"Kinetics...\" section"	"\"frequency of exhausted and senescent CD4+ and CD8+ T cells (PD-1+CD57+) increased in the COVID-19 patient... peaking on... day 22 for CD8+ T cells (68.3%) and were dramatically higher than in the HD (1.6% [0.6-6.3] and 18.4%, [14-36], respectively)\""	"CL_0011025"	"(CD8+,PD1+,CD57+)"	"PR:000001084,PR:000001919,PR:000001440"	"exhausted t cell (CD8+,PD1+,CD57+)"	"1"	"1"	"32829467_8_460"
""	"gamma-delta t cell"	""	"males in Paris, France"	"21.5"	"80"	"years"	"6"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"gamma delta CD3+ T cells"	""	"cell-type frequency"	"up"	"COVID-19 patients vs healthy controls"	"time post-symptom onset"	"14"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2d; 3rd Paragraph under \"Kinetics...\" section"	"\"frequency of gamma-delta T cells was markedly high on day 14 (92%), relative to that of the HD [Healthy Donors] (6.2% [4-8.9])\""	"CL_0000798"	""	""	"gamma-delta t cell"	"1"	"1"	"32829467_9_461"
""	"gamma-delta t cell"	""	"males in Paris, France"	"80"	"80"	"years"	"1"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"gamma delta CD3+ T cells"	""	"cell-type frequency"	"down"	"COVID-19 patients: day 15 vs day 14"	"time post-symptom onset"	"15"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2d; 3rd Paragraph under \"Kinetics...\" section"	"\"frequency of gamma-delta T cells was markedly high on day 14 (92%), relative to that of the HD (6.2% [4-8.9]), lower on day 15 (38.8%)\""	"CL_0000798"	""	""	"gamma-delta t cell"	"1"	"1"	"32829467_10_462"
""	"gamma-delta t cell"	""	"males in Paris, France"	"80"	"80"	"years"	"1"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"gamma delta CD3+ T cells"	""	"cell-type frequency"	"up"	"COVID-19 patients: day 24 vs day 15"	"time post-symptom onset"	"24"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2d; 3rd Paragraph under \"Kinetics...\" section"	"\"frequency of gamma-delta T cells was markedly high on day 14 (92%), relative to that of the HD (6.2% [4-8.9]), lower on day 15 (38.8%), and increased continuously from day 20 until day 24 (83.4%).\""	"CL_0000798"	""	""	"gamma-delta t cell"	"1"	"1"	"32829467_11_463"
""	"memory b cell (activated and CD19+,CD27+,CD21-); plasmablast (CD19+,CD38+,CD27+); b cell (exchausted and CD19+,CD27-,CD21-)"	""	"males in Paris, France"	"21.5"	"80"	"years"	"6"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"activated memory CD19+ CD27+ CD21- B cells; CD19+ CD38+ CD27+ plasmablasts/antibody-secreting cells (ASC); exhausted CD19+ CD27- CD21low/neg B cells"	""	"cell-type frequency"	"up"	"COVID-19 patients vs healthy controls"	"time post-symptom onset"	"20"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2e; 4th Paragraph under \"Kinetics...\" section"	"\"frequency of activated memory (CD19+CD27+CD21-) B cells and plasmablasts/antibody-secreting cells (ASC) (CD19+CD38+CD27+) peaked on day 20 (24.1 and 34.3%, respectively) and was markedly higher than that in HD (2.6% [2.1-3.8] and 0.32% [0.25-0.75..."	"CL_0000787; CL_0000980; CL_0000236"	"(activated and CD19+,CD27+,CD21-); (CD19+,CD38+,CD27+); (exchausted and CD19+,CD27-,CD21-)"	"PR:000001002,PR:000001963,PR:000001338; PR:000001002,PR:000001408,PR:000001963"	"memory b cell (activated and CD19+,CD27+,CD21-); plasmablast (CD19+,CD38+,CD27+); b cell (exchausted and CD19+,CD27-,CD21-)"	"3"	"3"	"32829467_12_466"
""	"natural killer cell"	""	"males in Paris, France"	"80"	"80"	"years"	"1"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"differentiated Ki67+ CD56dim CD57+ NK cells"	""	"cell-type frequency"	"up"	"COVID-19 patients: day 16 vs day 14"	"time post-symptom onset"	"16"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2g; 5th Paragraph under \"Kinetics...\" section"	"\"high frequency of differentiated CD56dim CD57+ NK cells was cycling (Ki67+) on day 14 (15.6%), peaked on day 16 (60.3%)\""	"CL_0000623"	""	""	"natural killer cell"	"1"	"1"	"32829467_13_467"
""	"natural killer cell"	""	"males in Paris, France"	"80"	"80"	"years"	"1"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"differentiated Ki67+ CD56dim CD57+ NK cells"	""	"cell-type frequency"	"down"	"COVID-19 patients: day 24 vs day 16"	"time post-symptom onset"	"24"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2g; 5th Paragraph under \"Kinetics...\" section"	"\"frequency of differentiated CD56dim CD57+ NK cells ...peaked on day 16 (60.3%), and then continuously decreased to day 24 (7.37%)\""	"CL_0000623"	""	""	"natural killer cell"	"1"	"1"	"32829467_14_468"
